# Redshift space power spectrum multipoles.
# Subtracting SN=    4.26390e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.83195e+03     4.76033e+03     6.41015e+03
   0.07000     7.23537e+03     3.83434e+03    -2.19190e+03
   0.09000     4.74414e+03     1.24824e+03    -2.26451e+03
   0.11000     3.68234e+03     1.48518e+03     1.40144e+02
   0.13000     3.26942e+03     1.85597e+03     1.23585e+03
   0.15000     2.38644e+03     1.13271e+03     4.36835e+02
   0.17000     1.93994e+03     8.67054e+02    -6.15106e+02
   0.19000     1.64566e+03     7.31093e+02     1.90805e+01
   0.21000     1.45963e+03     7.29805e+02    -1.98199e+02
   0.23000     1.30030e+03     7.78719e+02     2.42756e+02
   0.25000     1.06173e+03     4.07020e+02    -1.43030e+02
   0.27000     9.94194e+02     3.97912e+02    -1.38396e+02
   0.29000     8.36444e+02     3.78803e+02    -9.90663e+01
   0.31000     7.90730e+02     5.00475e+02     5.23351e+01
   0.33000     7.61426e+02     4.55119e+02     2.20426e+02
   0.35000     6.25213e+02     3.30912e+02     1.79591e+02
   0.37000     5.76152e+02     2.92907e+02     3.13935e+01
   0.39000     5.42802e+02     3.17090e+02     3.62901e+01
   0.41000     5.03713e+02     2.77100e+02    -5.22871e+01
   0.43000     4.51813e+02     2.13390e+02     2.13691e+01
   0.45000     4.05261e+02     2.13738e+02     5.12391e+01
   0.47000     3.94231e+02     2.39508e+02     3.50609e+01
   0.49000     3.71856e+02     2.53949e+02     6.98648e+01
   0.51000     3.55455e+02     1.88321e+02    -1.28605e+01
   0.53000     3.22022e+02     1.77627e+02     4.80538e+00
   0.55000     3.00251e+02     1.73060e+02     1.61905e+01
   0.57000     2.87387e+02     1.37633e+02     4.13965e+01
   0.59000     2.69751e+02     1.53712e+02     3.59816e+01
   0.61000     2.51120e+02     1.43685e+02    -9.24270e+00
   0.63000     2.45954e+02     1.41853e+02     4.37271e+01
   0.65000     2.27345e+02     1.32428e+02     2.59919e+01
   0.67000     2.19961e+02     1.45789e+02     1.86108e+01
   0.69000     2.10664e+02     1.33768e+02    -8.79186e+00
   0.71000     1.97652e+02     1.30274e+02     3.74734e+01
   0.73000     1.84814e+02     1.17004e+02     6.13264e+00
   0.75000     1.76817e+02     1.16019e+02     1.28094e+01
   0.77000     1.73272e+02     1.14956e+02     5.10154e+01
   0.79000     1.64970e+02     1.05022e+02     1.99040e+01
   0.81000     1.55297e+02     9.43096e+01     2.19702e+01
   0.83000     1.48848e+02     9.23365e+01    -3.87916e+00
   0.85000     1.39058e+02     8.93189e+01    -7.23111e+00
   0.87000     1.36321e+02     8.63335e+01     2.69591e+01
   0.89000     1.32172e+02     8.99667e+01     1.08399e+01
   0.91000     1.25878e+02     8.96073e+01     2.42030e+01
   0.93000     1.20747e+02     8.62502e+01     1.31659e+01
   0.95000     1.16358e+02     8.79797e+01     8.76579e+00
   0.97000     1.09763e+02     7.78675e+01     1.96163e+01
   0.99000     1.08157e+02     7.02133e+01     1.26015e+01
   1.01000     1.04527e+02     7.01637e+01     1.72490e+01
   1.03000     1.01802e+02     6.30578e+01     7.29718e+00
   1.05000     9.74161e+01     6.65694e+01     9.73598e+00
   1.07000     9.45711e+01     6.76571e+01     1.33090e+01
   1.09000     8.53182e+01     5.37813e+01     1.44115e+01
   1.11000     8.48799e+01     5.54522e+01     1.96894e+01
   1.13000     8.33860e+01     5.34808e+01     9.55380e+00
   1.15000     7.94928e+01     5.16224e+01     1.77684e+01
   1.17000     7.69655e+01     5.24270e+01     4.11704e+00
   1.19000     7.30563e+01     5.28426e+01     1.13169e+01
   1.21000     6.94360e+01     5.60188e+01     1.25794e+01
   1.23000     6.59854e+01     4.53876e+01     8.93869e+00
   1.25000     6.48513e+01     4.65871e+01     9.77569e+00
   1.27000     6.29982e+01     4.50141e+01     7.91859e+00
   1.29000     6.04762e+01     4.06481e+01     1.09082e+00
   1.31000     5.74864e+01     4.11325e+01     1.15410e+01
   1.33000     5.63951e+01     3.82042e+01     1.34305e+01
   1.35000     5.53999e+01     3.61894e+01     7.12461e+00
   1.37000     5.25803e+01     3.53408e+01     9.31122e+00
   1.39000     5.02890e+01     3.43578e+01     8.17106e+00
   1.41000     4.91600e+01     3.35452e+01     8.70805e+00
   1.43000     4.70376e+01     3.39363e+01     1.25570e+01
   1.45000     4.61047e+01     3.31487e+01     9.12364e+00
   1.47000     4.22844e+01     2.73420e+01     6.18566e+00
   1.49000     4.06630e+01     2.68465e+01     5.23979e+00
   1.51000     4.07112e+01     2.75506e+01     5.52140e+00
   1.53000     3.83002e+01     2.45389e+01     8.40105e+00
   1.55000     3.81520e+01     2.64663e+01     1.33806e+01
   1.57000     3.53414e+01     2.47351e+01     6.66457e+00
   1.59000     3.40399e+01     2.21701e+01     4.44798e+00
   1.61000     3.31990e+01     2.35116e+01     5.12650e+00
   1.63000     3.17181e+01     2.26927e+01     6.78179e+00
   1.65000     3.06103e+01     2.11323e+01     6.27171e+00
   1.67000     2.88528e+01     2.30304e+01     7.86560e+00
   1.69000     2.77698e+01     1.97993e+01     6.74615e+00
   1.71000     2.75957e+01     2.13134e+01     6.40171e+00
   1.73000     2.61737e+01     2.06943e+01     4.87816e+00
   1.75000     2.37724e+01     1.76894e+01     9.46423e+00
   1.77000     2.37169e+01     1.87759e+01     6.47599e+00
   1.79000     2.19486e+01     1.61826e+01     3.54939e+00
   1.81000     2.16797e+01     1.62237e+01     4.08414e+00
   1.83000     2.08967e+01     1.44356e+01     4.74371e+00
   1.85000     1.96379e+01     1.55224e+01     7.14587e+00
   1.87000     1.94907e+01     1.61217e+01     6.26375e+00
   1.89000     1.90513e+01     1.42952e+01     7.37877e+00
   1.91000     1.81711e+01     1.41531e+01     5.53453e+00
   1.93000     1.69400e+01     1.40594e+01     2.45913e+00
   1.95000     1.56683e+01     1.35646e+01     5.67435e+00
   1.97000     1.50901e+01     1.30198e+01     6.73400e+00
   1.99000     1.43517e+01     1.28301e+01     5.17971e+00
   2.01000     1.32447e+01     1.14979e+01     3.63567e+00
   2.03000     1.33491e+01     1.13549e+01     3.28226e+00
   2.05000     1.19494e+01     1.18714e+01     5.09736e+00
   2.07000     1.16032e+01     1.04817e+01     5.51093e+00
   2.09000     1.05599e+01     1.00803e+01     4.29461e+00
   2.11000     1.00449e+01     1.04309e+01     3.90188e+00
   2.13000     9.26952e+00     9.07624e+00     2.73920e+00
   2.15000     9.05698e+00     8.34564e+00     2.22541e+00
   2.17000     7.99726e+00     8.95400e+00     6.58076e+00
   2.19000     7.96855e+00     8.94184e+00     4.61901e+00
   2.21000     7.56886e+00     8.04759e+00     3.69936e+00
   2.23000     6.64137e+00     9.12917e+00     3.24725e+00
   2.25000     5.49069e+00     7.83253e+00     2.43864e+00
   2.27000     5.21439e+00     8.22560e+00     3.46053e+00
   2.29000     5.31827e+00     7.70849e+00     5.17796e+00
   2.31000     4.08199e+00     6.64405e+00     3.22207e+00
   2.33000     3.86600e+00     6.66173e+00     4.03654e+00
   2.35000     3.38888e+00     6.05533e+00     3.71263e+00
   2.37000     3.03875e+00     6.61915e+00     3.14360e+00
   2.39000     2.21613e+00     6.86050e+00     3.51231e+00
