#        k       b1_x       b1_a            Pkmm
   0.03682    1.68591    1.68177     3.22274e+03
   0.06136    1.66675    1.66019     1.99278e+03
   0.08590    1.66751    1.65752     1.29838e+03
   0.11045    1.68092    1.66628     8.61231e+02
   0.13499    1.69113    1.67304     7.17305e+02
   0.15953    1.69666    1.67195     5.13989e+02
   0.18408    1.70394    1.67247     3.99886e+02
   0.20862    1.71756    1.67935     3.27552e+02
   0.23317    1.72651    1.68276     2.86745e+02
   0.25771    1.72790    1.67253     2.27045e+02
   0.28225    1.73435    1.67208     2.03365e+02
   0.30680    1.75071    1.67694     1.70459e+02
   0.33134    1.76024    1.68106     1.59620e+02
   0.35588    1.77476    1.67899     1.31889e+02
   0.38043    1.77183    1.66412     1.17694e+02
   0.40497    1.78841    1.67114     1.08526e+02
   0.42951    1.79519    1.66458     9.73969e+01
   0.45406    1.80086    1.64978     8.50625e+01
   0.47860    1.81332    1.65692     8.16799e+01
   0.50315    1.82299    1.64929     7.35181e+01
   0.52769    1.83240    1.64368     6.79665e+01
   0.55223    1.83518    1.62958     6.28110e+01
   0.57678    1.85036    1.63479     5.94559e+01
   0.60132    1.85114    1.61469     5.48451e+01
   0.62586    1.86405    1.61211     5.12456e+01
   0.65041    1.87702    1.60731     4.78702e+01
   0.67495    1.87664    1.59282     4.57623e+01
   0.69950    1.89079    1.58674     4.27656e+01
   0.72404    1.89608    1.57735     4.08840e+01
   0.74858    1.90691    1.56519     3.81454e+01
   0.77313    1.91162    1.55795     3.69388e+01
   0.79767    1.92314    1.55156     3.51559e+01
   0.82221    1.93246    1.53459     3.29182e+01
   0.84676    1.93501    1.51399     3.13339e+01
   0.87130    1.94743    1.50946     3.00645e+01
   0.89584    1.95745    1.49907     2.87809e+01
   0.92039    1.96881    1.49464     2.78113e+01
   0.94493    1.97125    1.46796     2.63780e+01
   0.96948    1.98072    1.46161     2.55405e+01
   0.99402    1.99078    1.45851     2.48966e+01
   1.01856    1.99566    1.43303     2.36869e+01
   1.04311    2.00460    1.43836     2.34752e+01
   1.06765    2.01253    1.41866     2.24499e+01
   1.09219    2.02220    1.38630     2.11436e+01
   1.11674    2.03005    1.37987     2.06457e+01
   1.14128    2.03632    1.36332     2.00406e+01
   1.16583    2.04814    1.36723     1.97144e+01
   1.19037    2.05427    1.32169     1.85262e+01
   1.21491    2.06388    1.32415     1.82712e+01
   1.23946    2.07175    1.30293     1.76495e+01
   1.26400    2.07701    1.28241     1.71587e+01
   1.28854    2.08597    1.26898     1.67207e+01
   1.31309    2.09738    1.23285     1.59174e+01
   1.33763    2.10298    1.22555     1.57066e+01
   1.36217    2.11704    1.20034     1.50743e+01
   1.38672    2.12474    1.19927     1.48996e+01
   1.41126    2.12966    1.16266     1.43840e+01
   1.43581    2.13881    1.16378     1.42224e+01
   1.46035    2.14618    1.13100     1.37468e+01
   1.48489    2.15811    1.10760     1.33418e+01
   1.50944    2.16445    1.08636     1.30543e+01
   1.53398    2.17498    1.06655     1.27263e+01
   1.55852    2.18549    1.04539     1.24019e+01
   1.58307    2.19043    1.00512     1.20601e+01
   1.60761    2.20208    0.99462     1.18251e+01
   1.63216    2.20815    0.98908     1.17083e+01
   1.65670    2.21859    0.94399     1.13128e+01
   1.68124    2.22468    0.90856     1.10503e+01
   1.70579    2.23566    0.89926     1.08727e+01
   1.73033    2.24805    0.87624     1.06217e+01
   1.75487    2.25760    0.83164     1.03263e+01
   1.77942    2.26129    0.79671     1.01468e+01
   1.80396    2.27408    0.79858     1.00223e+01
