# Subtracting SN=    1.48076e+01.
#        k         Pk_0_HI
   0.03471     1.03761e+04
   0.04533     8.06193e+03
   0.05750     6.16061e+03
   0.07243     5.45530e+03
   0.08030     4.36165e+03
   0.09129     3.35974e+03
   0.10670     2.79626e+03
   0.11962     2.61756e+03
   0.12974     2.44626e+03
   0.14416     1.85112e+03
   0.15607     1.71199e+03
   0.16886     1.49286e+03
   0.18066     1.29706e+03
   0.19462     1.19842e+03
   0.20682     1.09272e+03
   0.21908     1.00651e+03
   0.23113     9.57549e+02
   0.24367     8.63257e+02
   0.25601     7.36566e+02
   0.26906     7.00343e+02
   0.28135     6.86926e+02
   0.29458     5.90893e+02
   0.30676     5.84931e+02
   0.31943     5.51004e+02
   0.33214     5.40857e+02
   0.34474     4.78899e+02
   0.35626     4.30538e+02
   0.36909     4.17399e+02
   0.38137     3.92896e+02
   0.39368     3.91115e+02
   0.40596     3.58038e+02
   0.41935     3.55021e+02
   0.43138     3.10843e+02
   0.44349     3.00144e+02
   0.45625     2.80930e+02
   0.46966     2.81920e+02
   0.48162     2.73592e+02
   0.49397     2.61417e+02
   0.50656     2.43108e+02
   0.51863     2.46292e+02
   0.53044     2.26927e+02
   0.54375     2.22270e+02
   0.55676     2.08797e+02
   0.56902     2.06583e+02
   0.58090     1.94907e+02
   0.59394     1.89876e+02
   0.60659     1.77607e+02
   0.61858     1.73497e+02
   0.63073     1.73197e+02
   0.64386     1.61672e+02
   0.65636     1.61106e+02
   0.66869     1.57936e+02
   0.68131     1.47082e+02
   0.69392     1.51187e+02
   0.70632     1.43250e+02
   0.71842     1.34586e+02
   0.73133     1.31744e+02
   0.74383     1.28989e+02
   0.75642     1.26500e+02
   0.76892     1.18780e+02
   0.78169     1.20705e+02
   0.79408     1.14381e+02
   0.80610     1.10749e+02
   0.81834     1.07449e+02
   0.83113     1.06465e+02
   0.84356     1.02328e+02
   0.85621     9.82010e+01
   0.86876     9.87175e+01
   0.88154     9.57612e+01
   0.89355     9.37121e+01
   0.90634     9.00469e+01
   0.91886     8.85985e+01
   0.93130     8.59275e+01
   0.94392     8.43334e+01
   0.95621     8.21696e+01
   0.96854     8.03872e+01
   0.98126     7.92593e+01
   0.99357     7.58599e+01
   1.00643     7.46601e+01
   1.01870     7.46959e+01
   1.03126     7.28640e+01
   1.04402     7.21809e+01
   1.05654     6.98725e+01
   1.06869     6.92153e+01
   1.08129     6.31899e+01
   1.09371     6.24421e+01
   1.10646     6.09084e+01
   1.11883     6.22571e+01
   1.13137     6.06005e+01
   1.14381     5.85052e+01
   1.15611     5.81465e+01
   1.16847     5.66617e+01
   1.18123     5.55982e+01
   1.19379     5.36026e+01
   1.20615     5.22032e+01
   1.21876     5.07698e+01
   1.23169     4.97680e+01
   1.24362     4.88857e+01
   1.25596     4.83026e+01
   1.26862     4.72949e+01
   1.28125     4.55558e+01
   1.29378     4.58384e+01
   1.30632     4.45455e+01
   1.31873     4.30736e+01
   1.33129     4.28647e+01
   1.34365     4.29135e+01
   1.35617     4.12677e+01
   1.36877     4.06302e+01
   1.38124     4.00194e+01
   1.39384     3.79588e+01
   1.40620     3.83540e+01
   1.41870     3.78873e+01
   1.43133     3.66873e+01
   1.44395     3.55792e+01
   1.45629     3.51091e+01
   1.46888     3.38592e+01
   1.48123     3.34806e+01
   1.49385     3.20525e+01
   1.50637     3.34099e+01
   1.51879     3.13051e+01
   1.53118     3.06057e+01
   1.54377     3.08228e+01
   1.55620     3.03704e+01
   1.56872     2.97134e+01
   1.58120     2.80184e+01
   1.59371     2.83421e+01
   1.60599     2.74760e+01
   1.61865     2.72781e+01
   1.63133     2.64874e+01
   1.64389     2.55722e+01
   1.65620     2.55591e+01
