# Redshift space power spectrum multipoles.
# Subtracting SN=    1.28153e+01 from monopole.
#        k              P0              P2              P4
   0.05000     6.54280e+03     3.35407e+03     4.58175e+03
   0.07000     5.35082e+03     2.67803e+03    -1.49534e+03
   0.09000     3.56767e+03     9.36531e+02    -1.58069e+03
   0.11000     2.73245e+03     1.04899e+03     6.14566e+01
   0.13000     2.40029e+03     1.25914e+03     8.57068e+02
   0.15000     1.76255e+03     7.87005e+02     2.57267e+02
   0.17000     1.42507e+03     6.02955e+02    -3.95960e+02
   0.19000     1.21616e+03     5.17991e+02     6.87022e+00
   0.21000     1.06945e+03     4.96782e+02    -1.48648e+02
   0.23000     9.42017e+02     5.29223e+02     1.86415e+02
   0.25000     7.68587e+02     2.70328e+02    -1.00644e+02
   0.27000     7.14362e+02     2.65795e+02    -9.74155e+01
   0.29000     6.06055e+02     2.62173e+02    -5.53012e+01
   0.31000     5.68922e+02     3.46176e+02     5.45263e+01
   0.33000     5.37247e+02     2.93165e+02     1.35982e+02
   0.35000     4.45792e+02     2.28855e+02     1.20457e+02
   0.37000     4.08520e+02     1.91456e+02     1.58078e+01
   0.39000     3.88570e+02     2.13794e+02     2.22573e+01
   0.41000     3.53727e+02     1.66859e+02    -4.87865e+01
   0.43000     3.20455e+02     1.50149e+02     2.16087e+01
   0.45000     2.87331e+02     1.38436e+02     2.18101e+01
   0.47000     2.76732e+02     1.53089e+02     2.16844e+01
   0.49000     2.60893e+02     1.66972e+02     4.78823e+01
   0.51000     2.47392e+02     1.19469e+02     1.19487e+00
   0.53000     2.27981e+02     1.16891e+02    -5.33845e-01
   0.55000     2.10084e+02     1.05824e+02     1.76681e+00
   0.57000     2.06503e+02     9.98531e+01     2.38699e+01
   0.59000     1.88904e+02     1.00681e+02     1.90618e+01
   0.61000     1.76153e+02     9.79379e+01    -5.01385e+00
   0.63000     1.71946e+02     9.25074e+01     2.80724e+01
   0.65000     1.59784e+02     8.85461e+01     1.66863e+01
   0.67000     1.56998e+02     9.93048e+01     1.08604e+01
   0.69000     1.49036e+02     9.35106e+01     3.20980e+00
