#        k       b1_x       b1_a            Pkmm
   0.03682    4.75484    4.80371     6.96232e+02
   0.06136    4.65803    4.74253     4.29708e+02
   0.08590    4.49778    4.63475     2.90086e+02
   0.11045    4.66040    4.84581     1.89467e+02
   0.13499    4.67602    4.86425     1.53303e+02
   0.15953    4.78064    5.07497     1.09894e+02
   0.18408    4.67360    5.00370     8.68794e+01
   0.20862    4.81476    5.17318     7.06762e+01
   0.23317    5.01497    5.40385     5.82661e+01
   0.25771    4.71052    5.15898     4.72600e+01
   0.28225    4.83701    5.34226     4.13959e+01
   0.30680    5.02793    5.57165     3.42936e+01
   0.33134    5.04369    5.59256     3.06397e+01
   0.35588    5.00201    5.62809     2.54770e+01
   0.38043    5.00132    5.63453     2.25515e+01
   0.40497    5.23065    5.90074     2.03509e+01
   0.42951    5.19621    5.90403     1.78688e+01
   0.45406    5.25744    5.96101     1.57419e+01
   0.47860    5.29296    6.05581     1.43249e+01
   0.50315    5.33681    6.09485     1.30870e+01
   0.52769    5.52310    6.28014     1.18648e+01
   0.55223    5.46659    6.26228     1.07845e+01
   0.57678    5.56930    6.40512     1.01792e+01
   0.60132    5.56704    6.40920     9.00353e+00
   0.62586    5.62914    6.48264     8.45018e+00
   0.65041    5.73801    6.62644     7.67524e+00
   0.67495    5.77547    6.66914     7.30193e+00
   0.69950    5.81494    6.72414     6.75634e+00
   0.72404    5.84892    6.73917     6.21013e+00
   0.74858    5.89726    6.80363     5.80027e+00
   0.77313    5.98741    6.86611     5.51997e+00
   0.79767    6.03309    6.98750     5.07673e+00
   0.82221    6.17950    7.13693     4.74600e+00
   0.84676    6.06511    6.98593     4.44113e+00
   0.87130    6.15966    7.03825     4.32421e+00
   0.89584    6.20900    7.07851     3.89272e+00
   0.92039    6.34383    7.16316     3.80214e+00
   0.94493    6.33958    7.18980     3.57208e+00
   0.96948    6.40597    7.28386     3.34149e+00
   0.99402    6.46691    7.25231     3.23829e+00
   1.01856    6.54804    7.36757     3.10056e+00
   1.04311    6.59421    7.43707     2.90732e+00
   1.06765    6.60262    7.37564     2.74831e+00
   1.09219    6.64850    7.35811     2.61296e+00
   1.11674    6.75252    7.42838     2.54007e+00
   1.14128    6.85501    7.49848     2.44083e+00
   1.16583    6.83496    7.50182     2.29069e+00
   1.19037    6.90275    7.54024     2.20490e+00
   1.21491    6.91915    7.50514     2.10311e+00
   1.23946    7.01334    7.53123     2.02925e+00
   1.26400    7.01881    7.57304     1.91931e+00
   1.28854    7.13009    7.61091     1.83989e+00
   1.31309    7.10335    7.56069     1.79299e+00
   1.33763    7.28014    7.67029     1.71185e+00
   1.36217    7.28184    7.63436     1.66384e+00
   1.38672    7.33931    7.63980     1.59241e+00
   1.41126    7.46736    7.74854     1.53167e+00
   1.43581    7.38799    7.62992     1.47715e+00
   1.46035    7.45038    7.59542     1.41592e+00
   1.48489    7.55385    7.62231     1.38862e+00
   1.50944    7.57275    7.57290     1.32477e+00
   1.53398    7.69495    7.65481     1.27802e+00
   1.55852    7.77018    7.64228     1.23009e+00
   1.58307    7.76758    7.62791     1.19004e+00
   1.60761    7.84601    7.58270     1.15440e+00
   1.63216    7.88628    7.55751     1.13335e+00
   1.65670    7.87561    7.54723     1.07034e+00
   1.68124    7.90414    7.46167     1.05403e+00
   1.70579    8.01383    7.48352     1.02048e+00
   1.73033    8.12158    7.52926     9.81471e-01
   1.75487    8.18703    7.52469     9.50030e-01
   1.77942    8.25380    7.45248     9.23241e-01
   1.80396    8.23963    7.37440     9.00831e-01
   1.82851    8.28844    7.42238     8.78948e-01
   1.85305    8.34486    7.32319     8.50567e-01
   1.87759    8.45746    7.32631     8.24773e-01
   1.90214    8.52996    7.31830     8.02736e-01
   1.92668    8.54700    7.23472     7.79936e-01
   1.95122    8.55444    7.12775     7.55696e-01
   1.97577    8.65207    7.13434     7.35283e-01
   2.00031    8.69733    7.02229     7.18375e-01
   2.02485    8.73616    7.00076     6.99974e-01
   2.04940    8.74405    6.82660     6.75002e-01
   2.07394    8.83493    6.78668     6.64414e-01
   2.09849    8.79327    6.59248     6.43462e-01
   2.12303    8.94533    6.64126     6.26078e-01
   2.14757    8.98936    6.55006     6.09003e-01
   2.17212    9.00907    6.40859     5.99796e-01
   2.19666    9.07238    6.26280     5.81334e-01
   2.22120    9.08875    6.16909     5.65830e-01
   2.24575    9.14359    6.00955     5.49135e-01
   2.27029    9.19537    6.01605     5.38137e-01
   2.29484    9.22634    5.78363     5.29406e-01
   2.31938    9.30920    5.63091     5.12196e-01
   2.34392    9.34478    5.49666     5.00786e-01
   2.36847    9.37084    5.30319     4.91713e-01
   2.39301    9.46595    5.19610     4.75564e-01
   2.41755    9.54910    5.03735     4.64555e-01
   2.44210    9.57712    4.88555     4.57392e-01
   2.46664    9.59697    4.62791     4.45196e-01
   2.49118    9.67131    4.40883     4.37438e-01
   2.51573    9.74000    4.17353     4.26466e-01
   2.54027    9.77706    3.94916     4.17316e-01
   2.56482    9.78073    3.46053     4.09029e-01
   2.58936    9.82490    3.21555     3.96902e-01
   2.61390    9.93009    2.84305     3.89096e-01
   2.63845    9.87952    1.96250     3.78935e-01
   2.66299    9.97989    1.54586     3.71205e-01
