# Subtracting SN=    7.18141e+01.
#        k         Pk_0_HI
   0.03471     1.78478e+04
   0.04533     1.31415e+04
   0.05750     1.01208e+04
   0.07243     9.32952e+03
   0.08030     6.91243e+03
   0.09129     5.64693e+03
   0.10670     4.83497e+03
   0.11962     4.50706e+03
   0.12974     4.06552e+03
   0.14416     3.13818e+03
   0.15607     3.02394e+03
   0.16886     2.65654e+03
   0.18066     2.26364e+03
   0.19462     2.12877e+03
   0.20682     1.93095e+03
   0.21908     1.84064e+03
   0.23113     1.76143e+03
   0.24367     1.59040e+03
   0.25601     1.31140e+03
   0.26906     1.28298e+03
   0.28135     1.25558e+03
   0.29458     1.10552e+03
   0.30676     1.11262e+03
   0.31943     1.04402e+03
   0.33214     1.02027e+03
   0.34474     9.05895e+02
   0.35626     8.19903e+02
   0.36909     8.00936e+02
   0.38137     7.51089e+02
   0.39368     7.60826e+02
   0.40596     6.97815e+02
   0.41935     6.92511e+02
   0.43138     6.17484e+02
   0.44349     5.97734e+02
   0.45625     5.56035e+02
   0.46966     5.63328e+02
   0.48162     5.41971e+02
   0.49397     5.21342e+02
   0.50656     4.90128e+02
   0.51863     5.05996e+02
   0.53044     4.57209e+02
   0.54375     4.60119e+02
   0.55676     4.22272e+02
   0.56902     4.29379e+02
   0.58090     4.05246e+02
   0.59394     3.87550e+02
   0.60659     3.70986e+02
   0.61858     3.65051e+02
   0.63073     3.61489e+02
   0.64386     3.45143e+02
   0.65636     3.39493e+02
   0.66869     3.39031e+02
   0.68131     3.13599e+02
   0.69392     3.20646e+02
   0.70632     3.03013e+02
   0.71842     2.88168e+02
   0.73133     2.76991e+02
   0.74383     2.82050e+02
   0.75642     2.71652e+02
   0.76892     2.58930e+02
   0.78169     2.68179e+02
   0.79408     2.48839e+02
   0.80610     2.40999e+02
   0.81834     2.38748e+02
   0.83113     2.35959e+02
   0.84356     2.26874e+02
   0.85621     2.15254e+02
   0.86876     2.18901e+02
   0.88154     2.14586e+02
   0.89355     2.06742e+02
   0.90634     1.99997e+02
   0.91886     1.96179e+02
   0.93130     1.91506e+02
   0.94392     1.87571e+02
   0.95621     1.83735e+02
   0.96854     1.80551e+02
   0.98126     1.79746e+02
   0.99357     1.72890e+02
   1.00643     1.69378e+02
   1.01870     1.69956e+02
   1.03126     1.65494e+02
   1.04402     1.63979e+02
   1.05654     1.59197e+02
   1.06869     1.55978e+02
   1.08129     1.44973e+02
   1.09371     1.42568e+02
   1.10646     1.39589e+02
   1.11883     1.41903e+02
   1.13137     1.42214e+02
   1.14381     1.33715e+02
   1.15611     1.33485e+02
   1.16847     1.30281e+02
   1.18123     1.28745e+02
   1.19379     1.25069e+02
   1.20615     1.20729e+02
   1.21876     1.18271e+02
   1.23169     1.15600e+02
   1.24362     1.12894e+02
   1.25596     1.10503e+02
   1.26862     1.09471e+02
   1.28125     1.07822e+02
   1.29378     1.04607e+02
   1.30632     1.03744e+02
   1.31873     9.84827e+01
   1.33129     9.87424e+01
   1.34365     1.00906e+02
   1.35617     9.66436e+01
   1.36877     9.41485e+01
   1.38124     9.30506e+01
   1.39384     8.80584e+01
   1.40620     8.83661e+01
   1.41870     8.83364e+01
   1.43133     8.43043e+01
   1.44395     8.09075e+01
   1.45629     8.18007e+01
   1.46888     7.87062e+01
   1.48123     7.73604e+01
   1.49385     7.36093e+01
   1.50637     7.67308e+01
   1.51879     7.14912e+01
   1.53118     7.02456e+01
   1.54377     7.17654e+01
   1.55620     6.87751e+01
   1.56872     6.89284e+01
   1.58120     6.32736e+01
   1.59371     6.42030e+01
   1.60599     6.26701e+01
   1.61865     6.21702e+01
   1.63133     6.04501e+01
   1.64389     5.85811e+01
   1.65620     5.80147e+01
   1.66875     5.66404e+01
   1.68124     5.37841e+01
   1.69373     5.33274e+01
   1.70613     5.35805e+01
   1.71876     5.13190e+01
   1.73122     4.98775e+01
   1.74388     4.77553e+01
   1.75630     4.91245e+01
   1.76889     4.66442e+01
   1.78135     4.55569e+01
   1.79367     4.48073e+01
   1.80623     4.54080e+01
   1.81883     4.36881e+01
   1.83105     4.23716e+01
   1.84372     4.03717e+01
   1.85626     4.11427e+01
   1.86877     4.00726e+01
   1.88126     3.89911e+01
   1.89376     3.94872e+01
   1.90612     3.76774e+01
   1.91872     3.61413e+01
   1.93133     3.50227e+01
   1.94390     3.39447e+01
   1.95627     3.24485e+01
   1.96884     3.25647e+01
   1.98128     3.18490e+01
   1.99360     3.01949e+01
   2.00601     3.04218e+01
   2.01865     2.89452e+01
   2.03129     2.87019e+01
   2.04372     2.76196e+01
   2.05627     2.64408e+01
   2.06890     2.63652e+01
   2.08129     2.64341e+01
   2.09355     2.51519e+01
   2.10609     2.26821e+01
   2.11865     2.41335e+01
   2.13110     2.17622e+01
   2.14358     2.13121e+01
   2.15632     2.05843e+01
   2.16888     2.09923e+01
   2.18136     2.02001e+01
   2.19375     1.87793e+01
   2.20648     1.80796e+01
   2.21891     1.69923e+01
   2.23127     1.67890e+01
   2.24362     1.59661e+01
   2.25610     1.51337e+01
   2.26860     1.43272e+01
   2.28134     1.43952e+01
   2.29396     1.47033e+01
   2.30651     1.32392e+01
   2.31883     1.23238e+01
   2.33131     1.16338e+01
   2.34379     1.11163e+01
   2.35620     1.06329e+01
   2.36856     1.00935e+01
   2.38127     9.57901e+00
   2.39387     8.89728e+00
   2.40629     8.00739e+00
   2.41869     7.16311e+00
   2.43124     7.41879e+00
   2.44369     7.24749e+00
   2.45637     5.88012e+00
   2.46879     6.44466e+00
   2.48121     4.21539e+00
   2.49370     5.59808e+00
   2.50623     4.02096e+00
   2.51865     3.78055e+00
   2.53107     3.48114e+00
   2.54368     3.33619e+00
   2.55639     2.21607e+00
   2.56875     1.95545e+00
   2.58134     9.44043e-01
   2.59382     6.36698e-01
   2.60628     8.38659e-01
   2.61873    -5.08901e-01
   2.63125    -1.13623e-01
   2.64375    -6.37704e-01
   2.65626    -1.15627e+00
   2.66870    -1.83197e+00
   2.68122    -2.41023e+00
   2.69374    -1.93165e+00
   2.70638    -2.86964e+00
   2.71888    -3.90754e+00
   2.73125    -2.97368e+00
   2.74389    -3.89234e+00
   2.75628    -4.91885e+00
   2.76868    -5.31127e+00
   2.78115    -4.72268e+00
   2.79379    -5.46667e+00
   2.80639    -6.17881e+00
   2.81871    -6.22090e+00
   2.83124    -7.26315e+00
   2.84389    -7.43823e+00
   2.85622    -7.08900e+00
   2.86878    -7.83550e+00
   2.88116    -8.27297e+00
   2.89358    -8.72242e+00
   2.90611    -8.69253e+00
   2.91881    -9.64133e+00
   2.93135    -9.61495e+00
   2.94381    -1.03330e+01
   2.95620    -1.02426e+01
   2.96870    -1.10125e+01
   2.98120    -1.14227e+01
   2.99376    -1.15122e+01
   3.00626    -1.23875e+01
   3.01885    -1.21728e+01
   3.03130    -1.19729e+01
   3.04377    -1.29398e+01
   3.05623    -1.26441e+01
   3.06869    -1.30835e+01
   3.08114    -1.39730e+01
   3.09378    -1.39955e+01
   3.10624    -1.41235e+01
   3.11878    -1.48302e+01
   3.13134    -1.49699e+01
   3.14383    -1.56361e+01
   3.15628    -1.60185e+01
   3.16884    -1.63598e+01
   3.18136    -1.62566e+01
   3.19383    -1.67533e+01
   3.20620    -1.72586e+01
   3.21875    -1.71220e+01
   3.23127    -1.72025e+01
   3.24385    -1.78205e+01
   3.25632    -1.82267e+01
   3.26882    -1.85571e+01
   3.28133    -1.88564e+01
   3.29378    -1.87736e+01
   3.30621    -1.94394e+01
   3.31875    -1.92613e+01
   3.33129    -1.97960e+01
   3.34376    -1.99517e+01
   3.35620    -2.07104e+01
   3.36875    -2.06964e+01
   3.38131    -2.06269e+01
   3.39380    -2.15601e+01
   3.40627    -2.11560e+01
   3.41876    -2.18813e+01
   3.43124    -2.20662e+01
   3.44372    -2.20067e+01
   3.45640    -2.28770e+01
   3.46891    -2.30369e+01
   3.48134    -2.29469e+01
   3.49375    -2.35984e+01
   3.50630    -2.35280e+01
   3.51882    -2.40095e+01
   3.53127    -2.40582e+01
   3.54369    -2.42041e+01
   3.55628    -2.45476e+01
   3.56869    -2.48521e+01
   3.58119    -2.51571e+01
   3.59375    -2.58099e+01
   3.60629    -2.58512e+01
   3.61878    -2.57025e+01
   3.63126    -2.62825e+01
   3.64371    -2.66112e+01
   3.65630    -2.63300e+01
   3.66876    -2.68064e+01
   3.68123    -2.68800e+01
   3.69375    -2.70463e+01
   3.70626    -2.69669e+01
   3.71877    -2.74995e+01
   3.73139    -2.76783e+01
   3.74372    -2.79778e+01
   3.75625    -2.84606e+01
   3.76880    -2.85920e+01
   3.78124    -2.88059e+01
   3.79373    -2.89093e+01
   3.80635    -2.91547e+01
   3.81877    -2.90693e+01
   3.83124    -2.98671e+01
   3.84376    -2.97877e+01
   3.85635    -3.01581e+01
   3.86882    -3.03473e+01
   3.88122    -3.04727e+01
   3.89365    -3.04391e+01
   3.90632    -3.06572e+01
   3.91889    -3.09917e+01
   3.93133    -3.09518e+01
   3.94373    -3.13130e+01
   3.95623    -3.15088e+01
   3.96866    -3.20098e+01
   3.98123    -3.19876e+01
   3.99373    -3.23531e+01
   4.00625    -3.23162e+01
   4.01870    -3.23574e+01
   4.03118    -3.27911e+01
   4.04374    -3.32708e+01
   4.05624    -3.34933e+01
   4.06881    -3.34119e+01
   4.08134    -3.37730e+01
   4.09380    -3.35537e+01
   4.10620    -3.37911e+01
   4.11874    -3.40709e+01
   4.13120    -3.43194e+01
   4.14377    -3.43232e+01
   4.15631    -3.48208e+01
   4.16881    -3.46711e+01
   4.18137    -3.49000e+01
   4.19383    -3.51546e+01
   4.20619    -3.55297e+01
   4.21870    -3.58815e+01
   4.23112    -3.57251e+01
   4.24368    -3.58472e+01
   4.25627    -3.59443e+01
   4.26880    -3.62732e+01
   4.28128    -3.64365e+01
   4.29387    -3.68254e+01
   4.30632    -3.68609e+01
   4.31885    -3.69569e+01
   4.33130    -3.70421e+01
   4.34381    -3.73744e+01
   4.35632    -3.74020e+01
   4.36880    -3.77115e+01
   4.38125    -3.79414e+01
   4.39378    -3.77948e+01
   4.40625    -3.81167e+01
   4.41877    -3.84454e+01
   4.43122    -3.83145e+01
   4.44377    -3.87542e+01
   4.45625    -3.87472e+01
   4.46877    -3.89952e+01
   4.48129    -3.91464e+01
   4.49376    -3.91998e+01
   4.50616    -3.94096e+01
   4.51874    -3.96181e+01
   4.53127    -3.98600e+01
   4.54376    -3.99590e+01
