# Redshift space power spectrum multipoles.
# Subtracting SN=    8.91119e+01 from monopole.
#        k              P0              P2              P4
   0.05000     1.18484e+04     3.56380e+03     7.39420e+03
   0.07000     9.62414e+03     3.51592e+03    -3.28209e+03
   0.09000     6.61012e+03     5.97323e+02    -2.79251e+03
   0.11000     5.21280e+03     8.94646e+02    -3.91627e+02
   0.13000     4.45754e+03     1.62603e+03     1.64231e+03
   0.15000     3.41530e+03     7.32331e+02     2.72321e+02
   0.17000     2.81154e+03     8.57379e+02    -7.40809e+02
   0.19000     2.45370e+03     8.07907e+02    -2.79380e+01
   0.21000     2.16910e+03     5.71935e+02    -2.85861e+02
   0.23000     1.97052e+03     8.19998e+02     3.31278e+02
   0.25000     1.58819e+03     2.26091e+02    -3.48021e+02
   0.27000     1.48647e+03     3.34287e+02    -2.85373e+02
   0.29000     1.31182e+03     2.94539e+02    -1.62214e+02
   0.31000     1.26400e+03     6.09282e+02     1.08554e+02
   0.33000     1.18012e+03     4.57296e+02     2.05161e+02
   0.35000     9.94274e+02     3.29380e+02     2.40459e+02
   0.37000     9.04393e+02     2.37034e+02     3.56077e+01
   0.39000     8.87588e+02     3.32567e+02     8.51763e+01
   0.41000     8.09230e+02     2.14690e+02    -1.42410e+02
   0.43000     7.48759e+02     2.64826e+02     9.03994e+01
   0.45000     6.82333e+02     1.98166e+02     4.77057e+01
   0.47000     6.56710e+02     1.98901e+02    -2.19941e+01
   0.49000     6.17594e+02     2.80915e+02     6.88984e+01
   0.51000     5.97824e+02     1.80402e+02     2.01759e+01
   0.53000     5.62981e+02     1.81416e+02    -3.97303e+01
   0.55000     5.14936e+02     1.47580e+02    -5.60522e+01
   0.57000     5.17687e+02     1.73494e+02     4.18805e+01
   0.59000     4.74659e+02     1.69085e+02     4.87701e+01
   0.61000     4.59858e+02     2.09296e+02    -1.97278e+01
   0.63000     4.38055e+02     1.65463e+02     5.58888e+01
   0.65000     4.19546e+02     1.66523e+02    -1.10824e+01
   0.67000     4.15620e+02     1.75572e+02     1.24633e+00
   0.69000     3.89545e+02     1.64182e+02    -1.71351e+01
   0.71000     3.71263e+02     1.50115e+02     2.61599e+01
   0.73000     3.44854e+02     1.50365e+02    -3.12632e+01
   0.75000     3.41391e+02     1.83188e+02     9.30030e+00
   0.77000     3.35614e+02     1.58798e+02     6.93191e+01
   0.79000     3.22096e+02     1.41197e+02     2.95545e+01
   0.81000     3.10483e+02     1.28508e+02     1.20681e+01
   0.83000     2.97016e+02     1.27094e+02    -1.52964e+01
   0.85000     2.80660e+02     1.41734e+02    -7.25213e+00
   0.87000     2.76164e+02     1.38519e+02     5.08510e+01
   0.89000     2.66017e+02     1.27723e+02    -1.02961e+01
   0.91000     2.58018e+02     1.44469e+02     4.16672e+01
   0.93000     2.46981e+02     1.42704e+02     2.63242e+01
   0.95000     2.37509e+02     1.18944e+02     1.46517e-01
   0.97000     2.33953e+02     1.22379e+02     3.65997e+01
   0.99000     2.30538e+02     1.26712e+02     3.26996e+01
   1.01000     2.21393e+02     1.02701e+02     3.29291e+01
   1.03000     2.19408e+02     1.12168e+02     2.23491e+01
   1.05000     2.09862e+02     1.14688e+02     1.69397e+01
   1.07000     2.01540e+02     1.15690e+02     4.87774e+01
   1.09000     1.94257e+02     1.05066e+02     2.71393e+01
   1.11000     1.84329e+02     9.72030e+01     4.64674e+01
   1.13000     1.90702e+02     9.43902e+01     1.97295e+01
   1.15000     1.80558e+02     9.28016e+01     3.23896e+01
   1.17000     1.72074e+02     9.16744e+01     1.13383e+01
   1.19000     1.69427e+02     8.86304e+01     1.34643e+01
   1.21000     1.64230e+02     1.06427e+02     2.15506e+01
   1.23000     1.56163e+02     8.55550e+01     3.21981e+01
   1.25000     1.52524e+02     8.86406e+01     1.68078e+01
   1.27000     1.50613e+02     8.15734e+01     5.39022e+00
   1.29000     1.44411e+02     7.67399e+01     8.91488e+00
   1.31000     1.40236e+02     8.11009e+01     2.89192e+01
   1.33000     1.34775e+02     6.67048e+01     3.28064e+01
   1.35000     1.37404e+02     6.96186e+01     2.05119e+01
   1.37000     1.29087e+02     7.16197e+01     1.69635e+01
   1.39000     1.26150e+02     7.06381e+01     1.98868e+01
   1.41000     1.24635e+02     7.19264e+01     1.99984e+01
   1.43000     1.18756e+02     7.09615e+01     3.45859e+01
   1.45000     1.14900e+02     6.68026e+01     2.15900e+01
   1.47000     1.11877e+02     6.70659e+01     1.86517e+01
   1.49000     1.07449e+02     5.62478e+01     6.67082e+00
   1.51000     1.06123e+02     6.11900e+01     8.04329e+00
   1.53000     1.02468e+02     5.63036e+01     2.54039e+01
   1.55000     1.00545e+02     5.90250e+01     2.07583e+01
   1.57000     9.87002e+01     5.88790e+01     1.31192e+01
   1.59000     9.41357e+01     5.74406e+01     8.88868e+00
   1.61000     9.07744e+01     5.01668e+01     7.63867e+00
   1.63000     8.95705e+01     5.68954e+01     2.17626e+01
   1.65000     8.74446e+01     5.28542e+01     1.67836e+01
   1.67000     8.33989e+01     5.69893e+01     2.03352e+01
   1.69000     8.02619e+01     5.28444e+01     1.90965e+01
   1.71000     7.82391e+01     4.96331e+01     1.18728e+01
   1.73000     7.62454e+01     4.69560e+01     1.12537e+01
   1.75000     7.37658e+01     5.06223e+01     1.82130e+01
   1.77000     7.19388e+01     4.52188e+01     1.84889e+01
   1.79000     7.13976e+01     4.66197e+01     2.59091e+01
   1.81000     6.93294e+01     4.58027e+01     4.54269e+00
   1.83000     6.74578e+01     4.73119e+01     1.75442e+01
   1.85000     6.46810e+01     4.51043e+01     1.51282e+01
   1.87000     6.41212e+01     4.31397e+01     1.15261e+01
   1.89000     6.16204e+01     4.10632e+01     1.14901e+01
   1.91000     5.96666e+01     4.12321e+01     1.36200e+01
   1.93000     5.63467e+01     3.86239e+01     7.13212e+00
   1.95000     5.57521e+01     3.83362e+01     4.75092e+00
   1.97000     5.37563e+01     3.81468e+01     1.06531e+01
   1.99000     5.29248e+01     3.98678e+01     1.36768e+01
