#        k       b1_x       b1_a            Pkmm
   0.03682    2.07232    2.07086     1.83345e+03
   0.06136    2.03743    2.03549     1.13346e+03
   0.08590    2.03645    2.03339     7.49612e+02
   0.11045    2.06070    2.05660     4.93931e+02
   0.13499    2.07210    2.06584     4.06011e+02
   0.15953    2.07794    2.07083     2.90779e+02
   0.18408    2.08203    2.07275     2.27887e+02
   0.20862    2.10238    2.09018     1.85803e+02
   0.23317    2.12098    2.10626     1.58449e+02
   0.25771    2.10945    2.08979     1.26195e+02
   0.28225    2.12059    2.09814     1.12493e+02
   0.30680    2.14529    2.11828     9.35006e+01
   0.33134    2.15611    2.12468     8.57137e+01
   0.35588    2.17068    2.13174     7.05821e+01
   0.38043    2.16694    2.12303     6.28881e+01
   0.40497    2.19629    2.14547     5.75205e+01
   0.42951    2.20226    2.14526     5.10728e+01
   0.45406    2.20785    2.13949     4.46171e+01
   0.47860    2.22403    2.15223     4.17876e+01
   0.50315    2.23264    2.15144     3.78055e+01
   0.52769    2.25351    2.16259     3.46595e+01
   0.55223    2.25596    2.15635     3.18917e+01
   0.57678    2.27316    2.16889     3.03344e+01
   0.60132    2.26640    2.14483     2.70248e+01
   0.62586    2.28971    2.16358     2.55225e+01
   0.65041    2.30691    2.16745     2.34248e+01
   0.67495    2.31090    2.16283     2.23736e+01
   0.69950    2.32344    2.16394     2.08510e+01
   0.72404    2.33207    2.16043     1.96905e+01
   0.74858    2.34618    2.16214     1.83179e+01
   0.77313    2.35200    2.15834     1.74976e+01
   0.79767    2.36615    2.15893     1.65020e+01
   0.82221    2.38107    2.15944     1.53881e+01
   0.84676    2.38019    2.14051     1.44480e+01
   0.87130    2.39815    2.15224     1.41336e+01
   0.89584    2.41326    2.14588     1.30485e+01
   0.92039    2.42308    2.14440     1.25933e+01
   0.94493    2.43182    2.13461     1.18266e+01
   0.96948    2.43735    2.12969     1.14404e+01
   0.99402    2.44880    2.13028     1.10930e+01
   1.01856    2.45432    2.11885     1.05958e+01
   1.04311    2.47219    2.12583     1.02835e+01
   1.06765    2.48119    2.11762     9.79629e+00
   1.09219    2.49698    2.10656     9.19447e+00
   1.11674    2.49882    2.09836     8.99344e+00
   1.14128    2.51151    2.09109     8.60290e+00
   1.16583    2.52101    2.08932     8.37479e+00
   1.19037    2.52293    2.06226     7.92551e+00
   1.21491    2.53949    2.06314     7.64498e+00
   1.23946    2.54612    2.05310     7.41647e+00
   1.26400    2.55437    2.03363     7.06179e+00
   1.28854    2.56224    2.02626     6.88365e+00
   1.31309    2.57744    2.02168     6.62706e+00
   1.33763    2.58592    2.01603     6.48231e+00
   1.36217    2.59905    2.01333     6.30932e+00
   1.38672    2.60221    1.98453     6.03535e+00
   1.41126    2.61400    1.98125     5.89805e+00
   1.43581    2.61974    1.96856     5.74029e+00
   1.46035    2.63064    1.95712     5.55650e+00
   1.48489    2.64000    1.94260     5.38489e+00
   1.50944    2.64625    1.92136     5.20659e+00
   1.53398    2.66223    1.91865     5.08405e+00
   1.55852    2.66860    1.90432     4.94909e+00
   1.58307    2.68234    1.89532     4.81859e+00
   1.60761    2.68428    1.85974     4.63903e+00
   1.63216    2.69275    1.85652     4.57762e+00
   1.65670    2.70852    1.84020     4.40183e+00
   1.68124    2.70992    1.82057     4.33656e+00
   1.70579    2.72467    1.81120     4.21348e+00
   1.73033    2.72898    1.77324     4.07008e+00
   1.75487    2.74883    1.77342     3.96904e+00
   1.77942    2.74613    1.74628     3.90328e+00
   1.80396    2.76163    1.73856     3.81476e+00
   1.82851    2.76929    1.72510     3.73945e+00
   1.85305    2.77746    1.70303     3.65022e+00
   1.87759    2.78820    1.67447     3.54475e+00
   1.90214    2.80264    1.67003     3.47803e+00
   1.92668    2.80304    1.61756     3.36852e+00
   1.95122    2.81269    1.58530     3.26614e+00
   1.97577    2.82199    1.59843     3.26575e+00
   2.00031    2.83535    1.57121     3.17076e+00
   2.02485    2.83827    1.54032     3.11273e+00
   2.04940    2.84902    1.50767     3.02792e+00
   2.07394    2.85958    1.48370     2.96309e+00
   2.09849    2.86305    1.43085     2.88266e+00
   2.12303    2.87817    1.42066     2.82812e+00
   2.14757    2.88199    1.40119     2.79480e+00
   2.17212    2.89446    1.38658     2.74879e+00
   2.19666    2.90073    1.33174     2.67503e+00
   2.22120    2.90991    1.28467     2.60561e+00
   2.24575    2.91668    1.25953     2.56838e+00
   2.27029    2.92384    1.21717     2.51481e+00
   2.29484    2.93217    1.17802     2.46509e+00
   2.31938    2.94623    1.14724     2.41711e+00
   2.34392    2.95453    1.12277     2.38431e+00
   2.36847    2.95884    1.05296     2.32898e+00
   2.39301    2.97234    0.98562     2.26519e+00
   2.41755    2.97532    0.91978     2.22630e+00
   2.44210    2.99057    0.88060     2.18142e+00
   2.46664    2.99796    0.82504     2.14568e+00
   2.49118    3.00830    0.75937     2.10371e+00
   2.51573    3.01468    0.66936     2.06301e+00
   2.54027    3.02389    0.64384     2.04258e+00
   2.56482    3.03790    0.50069     1.98722e+00
   2.58936    3.04425    0.35081     1.95044e+00
   2.61390    3.05472    0.13907     1.91538e+00
   2.63845    3.06201    0.33177     1.88143e+00
   2.66299    3.06859    0.42924     1.85988e+00
   2.68753    3.07730    0.59583     1.81888e+00
   2.71208    3.08867    0.69502     1.78226e+00
   2.73662    3.09014    0.79702     1.75368e+00
   2.76117    3.10253    0.83018     1.73102e+00
   2.78571    3.10990    0.97517     1.68215e+00
   2.81025    3.12247    1.02355     1.65531e+00
   2.83480    3.12497    1.07589     1.63647e+00
   2.85934    3.13528    1.15345     1.60064e+00
   2.88388    3.14866    1.17596     1.58227e+00
   2.90843    3.15272    1.30904     1.53353e+00
   2.93297    3.16255    1.32679     1.52034e+00
   2.95751    3.17131    1.38394     1.49410e+00
   2.98206    3.18291    1.42139     1.47080e+00
   3.00660    3.19539    1.46984     1.44548e+00
   3.03115    3.20452    1.50969     1.42485e+00
   3.05569    3.20869    1.59778     1.39242e+00
   3.08023    3.21944    1.62346     1.37581e+00
   3.10478    3.22444    1.70932     1.34249e+00
   3.12932    3.23802    1.74699     1.32185e+00
   3.15386    3.24777    1.80002     1.29727e+00
   3.17841    3.25255    1.83122     1.28472e+00
   3.20295    3.26126    1.89787     1.25694e+00
   3.22750    3.27265    1.92018     1.24279e+00
   3.25204    3.27635    2.01030     1.21120e+00
   3.27658    3.29030    2.02135     1.19992e+00
   3.30113    3.29376    2.08386     1.17759e+00
   3.32567    3.30731    2.12192     1.15843e+00
   3.35021    3.31519    2.17124     1.13894e+00
   3.37476    3.32390    2.21402     1.12190e+00
   3.39930    3.33249    2.25526     1.10465e+00
   3.42385    3.34731    2.31873     1.07917e+00
   3.44839    3.35418    2.37431     1.06008e+00
   3.47293    3.36146    2.39335     1.05167e+00
   3.49748    3.37140    2.44142     1.03293e+00
   3.52202    3.37414    2.52571     1.00708e+00
   3.54656    3.38655    2.54654     9.97230e-01
   3.57111    3.39792    2.58540     9.81794e-01
   3.59565    3.40705    2.62332     9.68156e-01
   3.62019    3.40939    2.68692     9.50191e-01
   3.64474    3.42507    2.72707     9.33496e-01
   3.66928    3.43317    2.77427     9.18898e-01
   3.69383    3.44489    2.82130     9.02604e-01
   3.71837    3.44585    2.87464     8.89000e-01
   3.74291    3.45884    2.92749     8.71920e-01
   3.76746    3.46756    2.95447     8.62507e-01
   3.79200    3.48009    3.00876     8.45957e-01
   3.81654    3.48269    3.06736     8.31006e-01
   3.84109    3.49761    3.10685     8.17628e-01
   3.86563    3.50339    3.16378     8.03480e-01
   3.89018    3.51536    3.20882     7.89915e-01
   3.91472    3.52373    3.25418     7.78071e-01
   3.93926    3.53326    3.29352     7.67357e-01
   3.96381    3.53889    3.35273     7.53526e-01
   3.98835    3.55802    3.38085     7.43405e-01
   4.01289    3.56227    3.43375     7.31433e-01
   4.03744    3.56951    3.49332     7.18011e-01
   4.06198    3.57556    3.56000     7.03384e-01
   4.08652    3.58908    3.59168     6.94428e-01
   4.11107    3.59707    3.64180     6.83418e-01
   4.13561    3.60552    3.69116     6.72602e-01
   4.16016    3.61570    3.73457     6.62748e-01
   4.18470    3.62472    3.80863     6.47788e-01
   4.20924    3.62941    3.85332     6.39111e-01
   4.23379    3.64457    3.89133     6.29794e-01
   4.25833    3.65505    3.94252     6.19643e-01
   4.28287    3.66065    3.99946     6.09360e-01
   4.30742    3.66152    4.05559     6.00073e-01
   4.33196    3.67970    4.10430     5.89361e-01
   4.35651    3.69183    4.16969     5.77484e-01
   4.38105    3.69531    4.21555     5.70058e-01
   4.40559    3.70766    4.26081     5.61599e-01
   4.43014    3.71602    4.31792     5.52033e-01
   4.45468    3.72282    4.38197     5.42201e-01
   4.47922    3.73428    4.43818     5.32748e-01
   4.50377    3.74443    4.48314     5.25264e-01
   4.52831    3.74827    4.57318     5.12614e-01
   4.55285    3.76025    4.59896     5.08148e-01
   4.57740    3.77168    4.64934     5.00141e-01
   4.60194    3.77947    4.71097     4.91433e-01
   4.62649    3.78678    4.78831     4.81345e-01
   4.65103    3.79273    4.83313     4.75255e-01
   4.67557    3.80666    4.87701     4.68761e-01
   4.70012    3.81054    4.94740     4.60143e-01
   4.72466    3.82287    5.01174     4.51767e-01
   4.74920    3.83214    5.06507     4.45098e-01
   4.77375    3.84367    5.11230     4.38627e-01
   4.79829    3.85123    5.17496     4.31384e-01
   4.82284    3.86399    5.23954     4.23519e-01
   4.84738    3.87021    5.28829     4.18051e-01
   4.87192    3.87631    5.36609     4.09751e-01
   4.89647    3.88471    5.41138     4.04921e-01
   4.92101    3.89355    5.47855     3.97529e-01
   4.94555    3.90841    5.54119     3.90777e-01
   4.97010    3.90803    5.61478     3.84051e-01
   4.99464    3.92464    5.66519     3.78421e-01
   5.01919    3.93543    5.72569     3.72353e-01
   5.04373    3.94457    5.78662     3.66670e-01
   5.06827    3.95186    5.85696     3.60250e-01
   5.09282    3.96381    5.91457     3.54831e-01
   5.11736    3.97152    5.97593     3.49426e-01
   5.14190    3.98062    6.06101     3.42268e-01
   5.16645    3.98953    6.10841     3.38048e-01
   5.19099    3.99766    6.18333     3.32069e-01
   5.21553    4.01234    6.23772     3.27365e-01
   5.24008    4.01833    6.28866     3.23321e-01
   5.26462    4.02221    6.37572     3.16924e-01
   5.28917    4.03106    6.44589     3.11778e-01
   5.31371    4.03711    6.50851     3.07258e-01
   5.33825    4.05530    6.57827     3.01818e-01
   5.36280    4.06118    6.64787     2.97073e-01
   5.38734    4.06674    6.72849     2.91760e-01
   5.41188    4.08149    6.79896     2.86853e-01
   5.43643    4.08589    6.85267     2.83436e-01
   5.46097    4.09887    6.91033     2.79555e-01
   5.48552    4.10191    6.99255     2.74628e-01
   5.51006    4.11626    7.06446     2.70025e-01
   5.53460    4.12459    7.11963     2.66734e-01
   5.55915    4.13770    7.18357     2.62853e-01
   5.58369    4.14857    7.26911     2.57971e-01
   5.60823    4.15459    7.33215     2.54499e-01
   5.63278    4.16137    7.41200     2.50220e-01
   5.65732    4.17028    7.47632     2.46725e-01
   5.68186    4.17769    7.54302     2.43297e-01
   5.70641    4.18625    7.59057     2.40804e-01
