# Subtracting SN=    1.47814e+01.
#        k         Pk_0_HI
   0.03471     9.97058e+03
   0.04533     7.91835e+03
   0.05750     5.97973e+03
   0.07243     5.25386e+03
   0.08030     4.28293e+03
   0.09129     3.23809e+03
   0.10670     2.67973e+03
   0.11962     2.49193e+03
   0.12974     2.35133e+03
   0.14416     1.75290e+03
   0.15607     1.59924e+03
   0.16886     1.39785e+03
   0.18066     1.22125e+03
   0.19462     1.11018e+03
   0.20682     1.01059e+03
   0.21908     9.10132e+02
   0.23113     8.74820e+02
   0.24367     7.84727e+02
   0.25601     6.77823e+02
   0.26906     6.29827e+02
   0.28135     6.15898e+02
   0.29458     5.25832e+02
   0.30676     5.04248e+02
   0.31943     4.74668e+02
   0.33214     4.67912e+02
   0.34474     4.06155e+02
   0.35626     3.68842e+02
   0.36909     3.44844e+02
   0.38137     3.29784e+02
   0.39368     3.20134e+02
   0.40596     2.93107e+02
   0.41935     2.87091e+02
   0.43138     2.49413e+02
   0.44349     2.41815e+02
   0.45625     2.22512e+02
   0.46966     2.15905e+02
   0.48162     2.11680e+02
   0.49397     1.96279e+02
   0.50656     1.87555e+02
   0.51863     1.83581e+02
   0.53044     1.67086e+02
   0.54375     1.62925e+02
   0.55676     1.54866e+02
   0.56902     1.48394e+02
   0.58090     1.37346e+02
   0.59394     1.36035e+02
   0.60659     1.22188e+02
   0.61858     1.20244e+02
   0.63073     1.21835e+02
   0.64386     1.09147e+02
   0.65636     1.08963e+02
   0.66869     1.04316e+02
   0.68131     9.67228e+01
   0.69392     1.00218e+02
   0.70632     9.38443e+01
   0.71842     8.61653e+01
   0.73133     8.53291e+01
   0.74383     8.01602e+01
   0.75642     7.90190e+01
   0.76892     7.30359e+01
   0.78169     7.17533e+01
   0.79408     7.02311e+01
   0.80610     6.72363e+01
   0.81834     6.36481e+01
   0.83113     6.18171e+01
   0.84356     5.95446e+01
   0.85621     5.74032e+01
   0.86876     5.51997e+01
   0.88154     5.32640e+01
   0.89355     5.25949e+01
   0.90634     4.91422e+01
   0.91886     4.96173e+01
   0.93130     4.59690e+01
   0.94392     4.38151e+01
   0.95621     4.42222e+01
   0.96854     4.25537e+01
   0.98126     4.10772e+01
   0.99357     4.02895e+01
   1.00643     3.84642e+01
   1.01870     3.84954e+01
   1.03126     3.63018e+01
   1.04402     3.50016e+01
   1.05654     3.45083e+01
   1.06869     3.38237e+01
   1.08129     3.08164e+01
   1.09371     3.10094e+01
   1.10646     2.98792e+01
