# Redshift space power spectrum multipoles.
# Subtracting SN=    5.92944e+01 from monopole.
#        k              P0              P2              P4
   0.05000     9.56888e+03     6.57648e+03     7.84558e+03
   0.07000     7.80603e+03     5.26904e+03    -2.52416e+03
   0.09000     4.93207e+03     1.88659e+03    -2.33306e+03
   0.11000     3.68243e+03     1.94377e+03     3.72613e+02
   0.13000     3.36754e+03     2.32030e+03     1.27350e+03
   0.15000     2.31723e+03     1.27579e+03     6.61185e+02
   0.17000     1.84389e+03     8.03017e+02    -8.01397e+02
   0.19000     1.46900e+03     4.34401e+02    -3.18485e+01
   0.21000     1.30425e+03     6.00222e+02    -2.68420e+02
   0.23000     1.10042e+03     4.64881e+02     2.31789e+02
   0.25000     9.34486e+02     3.12958e+02     9.02214e+01
   0.27000     8.43520e+02     1.94854e+02    -3.88145e+01
   0.29000     6.69669e+02     1.28471e+02    -1.04428e+02
   0.31000     5.98852e+02     1.99542e+02    -4.67776e+00
   0.33000     5.73384e+02     1.37333e+02     1.32797e+02
   0.35000     4.50494e+02     8.56952e+00     1.34297e+02
   0.37000     4.24106e+02     4.87376e+01    -1.37714e+00
   0.39000     3.59263e+02     9.06471e+00     3.66009e+01
   0.41000     3.28672e+02     1.85969e+01    -1.97512e+01
   0.43000     2.89036e+02    -2.60916e+00     6.43384e+01
   0.45000     2.49440e+02    -1.17355e+01     7.78130e+01
   0.47000     2.32246e+02    -1.45892e+01     2.91094e+01
   0.49000     2.11733e+02    -2.82810e+01     3.18045e+01
   0.51000     1.94913e+02    -2.05459e+01     1.67177e+01
   0.53000     1.73104e+02    -3.77424e+01     3.90286e+01
   0.55000     1.58076e+02    -3.75221e+01     1.83916e+01
   0.57000     1.45957e+02    -5.02766e+01     5.35621e+01
   0.59000     1.30300e+02    -4.13816e+01     3.94316e+01
   0.61000     1.24826e+02    -4.69116e+01     2.69147e+01
   0.63000     1.14799e+02    -4.44823e+01     4.61760e+01
   0.65000     1.03271e+02    -5.43389e+01     4.19955e+01
   0.67000     9.57169e+01    -3.14811e+01     2.67406e+01
   0.69000     9.03199e+01    -3.80624e+01     2.36400e+01
   0.71000     7.93547e+01    -3.34111e+01     3.52758e+01
   0.73000     7.37469e+01    -3.55577e+01     1.98630e+01
   0.75000     6.70846e+01    -4.49662e+01     2.16475e+01
   0.77000     6.53942e+01    -4.19752e+01     3.65453e+01
   0.79000     5.96760e+01    -3.96420e+01     2.74366e+01
   0.81000     5.71605e+01    -3.62296e+01     2.97759e+01
   0.83000     5.35049e+01    -3.85484e+01     2.06764e+01
   0.85000     4.45208e+01    -3.27155e+01     1.43781e+01
   0.87000     4.36461e+01    -3.58822e+01     2.22487e+01
   0.89000     4.04473e+01    -3.82767e+01     2.37524e+01
   0.91000     3.69004e+01    -3.61364e+01     2.33386e+01
   0.93000     3.67070e+01    -3.32729e+01     1.83403e+01
   0.95000     2.94685e+01    -3.01719e+01     2.02407e+01
   0.97000     3.14747e+01    -3.36914e+01     1.89464e+01
   0.99000     3.07191e+01    -3.42231e+01     2.37564e+01
   1.01000     2.69727e+01    -2.69444e+01     2.00533e+01
   1.03000     2.59794e+01    -3.07471e+01     2.00593e+01
   1.05000     2.44955e+01    -3.18582e+01     1.77603e+01
   1.07000     2.22141e+01    -2.60098e+01     1.41291e+01
   1.09000     1.98125e+01    -2.42999e+01     1.98072e+01
   1.11000     2.04306e+01    -2.58690e+01     2.14125e+01
   1.13000     1.77790e+01    -2.85153e+01     1.56762e+01
   1.15000     1.66721e+01    -2.28251e+01     1.70014e+01
   1.17000     1.49384e+01    -2.40741e+01     1.37190e+01
   1.19000     1.36646e+01    -2.03734e+01     1.33095e+01
   1.21000     1.28270e+01    -1.99447e+01     1.33155e+01
   1.23000     1.36030e+01    -1.94899e+01     1.29422e+01
   1.25000     1.11247e+01    -2.10615e+01     1.50257e+01
   1.27000     1.05566e+01    -1.91942e+01     1.21894e+01
   1.29000     9.84156e+00    -1.99553e+01     1.26870e+01
   1.31000     9.37380e+00    -1.79638e+01     1.42028e+01
   1.33000     9.14562e+00    -1.85330e+01     1.38461e+01
   1.35000     6.89581e+00    -1.54371e+01     1.16768e+01
   1.37000     7.40978e+00    -1.78532e+01     9.91970e+00
   1.39000     6.24640e+00    -1.55411e+01     9.64065e+00
   1.41000     5.79783e+00    -1.38007e+01     7.71506e+00
   1.43000     5.73109e+00    -1.55050e+01     1.54535e+01
   1.45000     4.68786e+00    -1.15800e+01     9.75267e+00
   1.47000     3.60047e+00    -1.39784e+01     7.31596e+00
   1.49000     3.49521e+00    -1.62768e+01     9.98241e+00
   1.51000     3.79374e+00    -1.22515e+01     8.66752e+00
   1.53000     2.04697e+00    -1.07707e+01     1.01234e+01
   1.55000     2.05940e+00    -1.12115e+01     1.02329e+01
   1.57000     2.33082e+00    -1.12945e+01     9.01546e+00
   1.59000     1.10519e+00    -1.03375e+01     7.30170e+00
   1.61000     1.30786e+00    -1.01036e+01     5.75453e+00
   1.63000     3.83009e-01    -1.01894e+01     7.68149e+00
   1.65000     1.01563e+00    -9.92502e+00     7.68260e+00
   1.67000     2.87802e-01    -7.91625e+00     6.03065e+00
   1.69000    -6.55717e-01    -8.64898e+00     6.72075e+00
   1.71000    -1.18716e+00    -9.21445e+00     4.82512e+00
   1.73000    -1.40722e+00    -9.52078e+00     7.07809e+00
   1.75000    -2.19814e+00    -8.61571e+00     8.15137e+00
   1.77000    -2.17139e+00    -8.80471e+00     7.91814e+00
   1.79000    -2.53816e+00    -7.28041e+00     6.11665e+00
   1.81000    -2.68374e+00    -7.49880e+00     2.08202e+00
   1.83000    -3.61639e+00    -6.99035e+00     5.93590e+00
   1.85000    -3.49571e+00    -9.08237e+00     5.85422e+00
   1.87000    -3.83772e+00    -6.64040e+00     4.66347e+00
   1.89000    -4.51319e+00    -5.55959e+00     4.43950e+00
   1.91000    -4.50103e+00    -6.39075e+00     3.59392e+00
   1.93000    -5.13527e+00    -6.41663e+00     5.76081e+00
   1.95000    -5.45951e+00    -4.87303e+00     4.78893e+00
   1.97000    -6.11030e+00    -4.82979e+00     4.28005e+00
   1.99000    -5.88487e+00    -5.25239e+00     6.03229e+00
   2.01000    -6.18435e+00    -4.55839e+00     3.66992e+00
   2.03000    -5.81721e+00    -4.98698e+00     5.16145e+00
   2.05000    -6.82182e+00    -5.29482e+00     3.53977e+00
   2.07000    -6.49303e+00    -4.22913e+00     5.67475e+00
   2.09000    -7.57572e+00    -4.25790e+00     4.44542e+00
   2.11000    -7.89492e+00    -4.67078e+00     2.99940e+00
   2.13000    -7.59850e+00    -4.30458e+00     2.35866e+00
   2.15000    -7.93252e+00    -4.33942e+00     1.51530e+00
   2.17000    -8.48466e+00    -3.79258e+00     4.37118e+00
   2.19000    -8.63413e+00    -3.77204e+00     5.07386e+00
   2.21000    -8.77612e+00    -3.55475e+00     2.37633e+00
   2.23000    -9.21311e+00    -3.27091e+00     2.75965e+00
   2.25000    -9.53269e+00    -3.75833e+00     2.52763e+00
   2.27000    -9.58903e+00    -3.26005e+00     3.29447e+00
   2.29000    -1.00226e+01    -3.88080e+00     3.60899e+00
   2.31000    -1.00765e+01    -2.72970e+00     1.50934e+00
   2.33000    -1.07251e+01    -3.33420e+00     2.79777e+00
   2.35000    -1.00490e+01    -3.82911e+00     2.29393e+00
   2.37000    -1.08018e+01    -2.81357e+00     1.69939e+00
   2.39000    -1.11541e+01    -3.20677e+00     9.38289e-01
   2.41000    -1.15338e+01    -2.15036e+00     1.98441e+00
   2.43000    -1.13359e+01    -2.37459e+00     2.01793e+00
   2.45000    -1.21152e+01    -2.54578e+00     1.26905e+00
   2.47000    -1.25206e+01    -1.50864e+00     2.51698e-01
   2.49000    -1.25194e+01    -2.23532e+00     1.39872e+00
   2.51000    -1.26129e+01    -2.86084e+00     2.82349e+00
   2.53000    -1.22767e+01    -1.72752e+00     1.65535e+00
   2.55000    -1.32189e+01    -1.49177e+00     2.20290e+00
   2.57000    -1.31803e+01    -2.12645e+00     8.13543e-01
   2.59000    -1.31485e+01    -2.36470e+00     6.59832e-01
   2.61000    -1.35161e+01    -2.12028e+00     2.16457e+00
   2.63000    -1.35221e+01    -1.26583e+00     1.92667e+00
   2.65000    -1.38998e+01    -1.27092e+00     2.62840e+00
   2.67000    -1.38952e+01    -1.70304e+00     1.64727e+00
   2.69000    -1.44859e+01    -3.12534e-01     2.92493e-01
   2.71000    -1.45312e+01    -2.23433e+00     2.63385e+00
   2.73000    -1.49917e+01    -1.29625e+00     1.51027e+00
   2.75000    -1.47778e+01    -1.29549e+00     5.60924e-01
   2.77000    -1.53390e+01    -1.21786e+00     1.80977e+00
   2.79000    -1.53985e+01    -7.04666e-01     4.38551e-01
   2.81000    -1.58821e+01    -2.05339e+00     2.76441e+00
   2.83000    -1.61766e+01    -9.20317e-01     1.38609e+00
   2.85000    -1.65534e+01    -1.27318e+00     2.14403e+00
   2.87000    -1.66561e+01    -1.20207e+00     1.51120e+00
   2.89000    -1.67982e+01    -1.76079e+00     1.68552e+00
   2.91000    -1.73400e+01    -1.34362e+00     1.85770e+00
   2.93000    -1.72005e+01    -1.58540e+00     1.20914e+00
   2.95000    -1.76320e+01    -1.37831e+00     1.87848e+00
   2.97000    -1.76475e+01    -1.57965e+00     6.58270e-01
   2.99000    -1.81830e+01    -1.15243e+00     1.78722e+00
   3.01000    -1.85602e+01    -1.17271e+00     1.32007e+00
   3.03000    -1.84642e+01    -9.36293e-01     1.73596e+00
   3.05000    -1.88681e+01    -1.22544e+00     7.97639e-01
   3.07000    -1.89508e+01    -9.56871e-01     8.85784e-01
   3.09000    -1.90822e+01    -3.97040e-01     7.32062e-01
   3.11000    -1.92047e+01    -1.02804e+00     5.69181e-01
   3.13000    -1.96438e+01    -2.31819e-01     9.34553e-01
   3.15000    -1.96803e+01    -6.20476e-01     1.66856e+00
   3.17000    -1.99273e+01    -1.39595e-01     1.46355e+00
   3.19000    -2.02426e+01    -7.73720e-01     5.77032e-01
   3.21000    -2.03154e+01    -3.70185e-01     1.20353e+00
   3.23000    -2.04289e+01    -9.50732e-03     2.57258e-01
   3.25000    -2.09532e+01    -2.47259e-01     1.13010e+00
   3.27000    -2.09199e+01    -5.93399e-01     1.29022e+00
   3.29000    -2.11068e+01    -6.89435e-01     8.69808e-01
   3.31000    -2.12931e+01    -4.35804e-01     6.55638e-02
   3.33000    -2.14946e+01    -2.85840e-01     7.20245e-01
   3.35000    -2.17697e+01    -5.64586e-01     6.45639e-01
   3.37000    -2.19924e+01    -8.55770e-01     8.18613e-01
   3.39000    -2.23160e+01    -2.43488e-01     1.40465e+00
   3.41000    -2.23850e+01    -4.86991e-01     1.14597e+00
   3.43000    -2.27278e+01    -1.17892e-01     6.75332e-01
   3.45000    -2.27709e+01    -3.09508e-01     3.67270e-01
   3.47000    -2.30367e+01    -8.10883e-01     1.50114e+00
   3.49000    -2.30078e+01    -3.87845e-01     4.65117e-01
   3.51000    -2.33925e+01    -1.17584e-01     6.91898e-01
   3.53000    -2.36381e+01    -7.54170e-02    -9.01148e-02
   3.55000    -2.38927e+01    -2.97454e-01     4.10575e-02
   3.57000    -2.40920e+01    -1.98372e-01     7.03311e-01
   3.59000    -2.43193e+01    -5.90707e-01     1.02826e+00
   3.61000    -2.45337e+01    -1.12334e-01    -5.69311e-02
   3.63000    -2.47386e+01    -5.50981e-01     9.92904e-02
   3.65000    -2.47797e+01    -3.47904e-01     5.64923e-01
   3.67000    -2.51074e+01    -5.86520e-01     2.12870e-01
   3.69000    -2.54422e+01    -6.66481e-01     8.02195e-01
   3.71000    -2.54996e+01    -5.29207e-01     3.34583e-01
   3.73000    -2.58010e+01    -5.72049e-01     6.79972e-01
   3.75000    -2.56904e+01    -5.30600e-01     2.79501e-01
   3.77000    -2.62393e+01    -7.07867e-01     7.79293e-01
   3.79000    -2.62953e+01    -7.27611e-01     1.57482e+00
   3.81000    -2.66144e+01    -4.60336e-01     6.89500e-01
   3.83000    -2.66351e+01    -5.85731e-01     7.20460e-01
   3.85000    -2.69750e+01    -6.32152e-01     1.05866e+00
   3.87000    -2.71468e+01    -2.30126e-01     4.54969e-01
   3.89000    -2.73696e+01    -4.65002e-01     9.78105e-01
   3.91000    -2.76683e+01    -3.73249e-01     1.27217e+00
   3.93000    -2.76931e+01     1.18126e-01     1.31041e+00
   3.95000    -2.80638e+01    -2.82451e-01     8.29890e-01
   3.97000    -2.81296e+01    -6.03503e-01     5.15907e-01
   3.99000    -2.81680e+01     8.18824e-02     1.12446e+00
   4.01000    -2.82721e+01    -1.78529e-01     1.12106e+00
   4.03000    -2.87633e+01    -4.28371e-01     8.01904e-01
   4.05000    -2.89397e+01    -1.72558e-01     1.28280e+00
   4.07000    -2.90250e+01    -5.70464e-01     1.25798e+00
   4.09000    -2.92483e+01    -5.57723e-01     4.26614e-01
   4.11000    -2.94160e+01    -4.87697e-01     1.36892e+00
   4.13000    -2.95618e+01    -2.71445e-01     1.05295e+00
   4.15000    -2.99946e+01    -2.20943e-01     3.35018e-01
   4.17000    -3.00448e+01    -1.18526e-01     9.89692e-01
   4.19000    -3.02194e+01    -2.78441e-01     3.42894e-01
   4.21000    -3.03363e+01    -8.33593e-02     5.78876e-01
   4.23000    -3.06682e+01     4.82541e-02     9.89987e-01
   4.25000    -3.08686e+01    -2.90502e-01     5.45591e-01
   4.27000    -3.11265e+01    -1.42937e-02     1.29634e+00
   4.29000    -3.11917e+01    -5.27304e-02     3.37657e-01
   4.31000    -3.14855e+01    -7.15159e-02     7.36225e-01
   4.33000    -3.15202e+01    -3.03231e-01     1.24109e+00
   4.35000    -3.17893e+01    -6.63677e-02     1.11457e+00
   4.37000    -3.20023e+01    -2.99509e-01     8.42589e-01
   4.39000    -3.22882e+01     9.66399e-02     7.49284e-01
   4.41000    -3.22956e+01    -3.90188e-01     1.05086e+00
   4.43000    -3.25304e+01    -2.19482e-01     8.45923e-01
   4.45000    -3.27011e+01    -3.42355e-01     1.14864e+00
   4.47000    -3.28861e+01    -1.05959e-01     1.17572e+00
   4.49000    -3.30888e+01    -2.50859e-01     1.01691e+00
   4.51000    -3.33314e+01    -4.13382e-02     9.46552e-01
   4.53000    -3.33817e+01    -1.11166e-01     9.54826e-01
   4.55000    -3.36046e+01     4.60893e-02     1.57997e+00
   4.57000    -3.37745e+01     3.33021e-01     1.07199e+00
   4.59000    -3.38431e+01    -1.27682e-01     1.10844e+00
   4.61000    -3.40679e+01     1.03813e-01     1.43546e+00
   4.63000    -3.43212e+01     4.13052e-02     1.02661e+00
   4.65000    -3.44911e+01    -8.69180e-02     1.25876e+00
   4.67000    -3.45769e+01    -2.43895e-02     1.10631e+00
   4.69000    -3.47737e+01     9.89934e-02     1.28207e+00
   4.71000    -3.49002e+01     1.59809e-02     1.02874e+00
   4.73000    -3.50941e+01    -2.37249e-01     8.74631e-01
   4.75000    -3.51843e+01     1.19111e-01     1.22853e+00
   4.77000    -3.54325e+01    -1.21074e-01     1.41277e+00
   4.79000    -3.55693e+01     1.35550e-01     1.49227e+00
   4.81000    -3.57534e+01     9.70467e-02     1.33715e+00
   4.83000    -3.59523e+01    -2.77503e-03     1.40870e+00
   4.85000    -3.61506e+01    -1.43715e-01     1.20282e+00
   4.87000    -3.62733e+01    -8.62687e-02     1.46434e+00
   4.89000    -3.63509e+01    -8.72472e-02     1.72174e+00
   4.91000    -3.65110e+01    -1.46902e-01     1.45619e+00
   4.93000    -3.66542e+01     3.00974e-02     1.54766e+00
   4.95000    -3.69271e+01     1.01212e-01     1.47936e+00
   4.97000    -3.70842e+01    -3.29078e-02     1.92655e+00
   4.99000    -3.71661e+01     1.07568e-01     1.62147e+00
   5.01000    -3.73631e+01    -1.01101e-01     1.52005e+00
   5.03000    -3.75060e+01     1.19376e-01     1.70624e+00
   5.05000    -3.76261e+01     3.62327e-03     1.55738e+00
   5.07000    -3.77992e+01    -2.18989e-02     1.72851e+00
   5.09000    -3.79701e+01    -1.47691e-01     1.98400e+00
   5.11000    -3.81542e+01     9.63687e-02     1.75158e+00
   5.13000    -3.83142e+01    -1.03811e-01     1.77418e+00
   5.15000    -3.84686e+01    -1.72067e-01     1.96848e+00
   5.17000    -3.85759e+01    -2.17588e-01     1.68789e+00
   5.19000    -3.87168e+01    -1.16083e-01     2.10560e+00
   5.21000    -3.88707e+01    -6.89007e-02     2.19084e+00
   5.23000    -3.89781e+01    -6.84566e-02     2.35209e+00
   5.25000    -3.91512e+01    -6.22359e-04     2.49396e+00
   5.27000    -3.92632e+01    -6.26506e-02     1.87441e+00
   5.29000    -3.94264e+01    -1.22579e-01     2.22539e+00
   5.31000    -3.95203e+01    -7.00831e-02     2.29048e+00
