# Mcut=  1.8308e+09Msun/h.
#        k       b1_x       b1_a            Pkmm
   0.03476    3.34241    3.35229     6.96232e+02
   0.06013    3.26142    3.27977     4.29708e+02
   0.08418    3.22628    3.25335     2.90086e+02
   0.10874    3.29231    3.33157     1.89467e+02
   0.13437    3.31085    3.34923     1.53303e+02
   0.15871    3.33985    3.40150     1.09894e+02
   0.18293    3.30957    3.38101     8.68794e+01
   0.20748    3.36370    3.44159     7.06762e+01
   0.23232    3.42843    3.51745     5.82661e+01
   0.25688    3.33093    3.42685     4.72600e+01
   0.28117    3.37637    3.48661     4.13959e+01
   0.30628    3.43903    3.56372     3.42936e+01
   0.33133    3.45803    3.58339     3.06397e+01
   0.35545    3.45340    3.59549     2.54770e+01
   0.37974    3.44688    3.59719     2.25515e+01
   0.40420    3.53789    3.68924     2.03509e+01
   0.42877    3.52194    3.68717     1.78688e+01
   0.45346    3.54577    3.71291     1.57419e+01
   0.47807    3.55976    3.74687     1.43249e+01
   0.50266    3.57795    3.76008     1.30870e+01
   0.52715    3.64929    3.83342     1.18648e+01
   0.55156    3.63522    3.83400     1.07845e+01
   0.57625    3.67373    3.87768     1.01792e+01
   0.60074    3.65767    3.86702     9.00353e+00
   0.62537    3.69251    3.90916     8.45018e+00
   0.65018    3.73299    3.95570     7.67524e+00
   0.67478    3.74690    3.97122     7.30193e+00
   0.69919    3.76300    3.99753     6.75634e+00
   0.72362    3.78083    4.01209     6.21013e+00
   0.74803    3.80722    4.04807     5.80027e+00
   0.77266    3.82133    4.06146     5.51997e+00
   0.79730    3.84566    4.09773     5.07673e+00
   0.82191    3.89792    4.15705     4.74600e+00
   0.84650    3.85830    4.11674     4.44113e+00
   0.87103    3.90522    4.14760     4.32421e+00
   0.89560    3.91678    4.17041     3.89272e+00
   0.92003    3.96596    4.20717     3.80214e+00
   0.94458    3.97483    4.22624     3.57208e+00
   0.96914    3.97794    4.24323     3.34149e+00
   0.99364    4.01848    4.26653     3.23829e+00
   1.01818    4.04099    4.29100     3.10056e+00
   1.04277    4.05912    4.32341     2.90732e+00
   1.06743    4.06465    4.32262     2.74831e+00
   1.09201    4.08835    4.33218     2.61296e+00
   1.11656    4.11995    4.36329     2.54007e+00
   1.14097    4.15400    4.39053     2.44083e+00
   1.16541    4.14059    4.38701     2.29069e+00
   1.19006    4.16819    4.40637     2.20490e+00
   1.21462    4.18628    4.42376     2.10311e+00
   1.23915    4.20959    4.43779     2.02925e+00
   1.26379    4.21555    4.45142     1.91931e+00
   1.28843    4.24239    4.47035     1.83989e+00
   1.31303    4.24829    4.48261     1.79299e+00
   1.33742    4.30714    4.53021     1.71185e+00
   1.36193    4.30755    4.52411     1.66384e+00
   1.38650    4.32080    4.53473     1.59241e+00
   1.41093    4.37986    4.58819     1.53167e+00
   1.43548    4.34557    4.55273     1.47715e+00
   1.46003    4.36710    4.56546     1.41592e+00
   1.48468    4.40107    4.58130     1.38862e+00
   1.50925    4.41672    4.59545     1.32477e+00
   1.53368    4.44758    4.62046     1.27802e+00
   1.55833    4.47382    4.64156     1.23009e+00
   1.58290    4.47646    4.64132     1.19004e+00
   1.60746    4.49991    4.64781     1.15440e+00
   1.63199    4.51789    4.65531     1.13335e+00
   1.65643    4.51695    4.66762     1.07034e+00
   1.68103    4.53221    4.65660     1.05403e+00
   1.70563    4.55990    4.67723     1.02048e+00
   1.73010    4.59732    4.70437     9.81471e-01
   1.75456    4.61987    4.72155     9.50030e-01
   1.77907    4.63373    4.71874     9.23241e-01
   1.80377    4.63782    4.71363     9.00831e-01
   1.82842    4.65143    4.72929     8.78948e-01
   1.85296    4.67665    4.73723     8.50567e-01
   1.87752    4.70922    4.75276     8.24773e-01
   1.90200    4.72170    4.75723     8.02736e-01
   1.92646    4.73128    4.75356     7.79936e-01
   1.95098    4.74150    4.75503     7.55696e-01
   1.97546    4.76660    4.76879     7.35283e-01
   2.00000    4.78640    4.77079     7.18375e-01
   2.02470    4.79465    4.77473     6.99974e-01
   2.04927    4.80216    4.76366     6.75002e-01
   2.07377    4.82724    4.76609     6.64414e-01
   2.09832    4.82012    4.75012     6.43462e-01
   2.12294    4.86087    4.77996     6.26078e-01
   2.14747    4.87609    4.77437     6.09003e-01
   2.17185    4.88406    4.76927     5.99796e-01
   2.19643    4.90381    4.76708     5.81334e-01
   2.22111    4.91148    4.75810     5.65830e-01
   2.24563    4.92248    4.75274     5.49135e-01
   2.27015    4.94623    4.77286     5.38137e-01
   2.29470    4.95437    4.75353     5.29406e-01
   2.31924    4.97729    4.75642     5.12196e-01
   2.34377    4.98581    4.74780     5.00786e-01
   2.36823    4.99104    4.73627     4.91713e-01
   2.39278    5.02017    4.74528     4.75564e-01
   2.41744    5.04823    4.75022     4.64555e-01
   2.44196    5.05617    4.74499     4.57392e-01
   2.46642    5.07343    4.73843     4.45196e-01
   2.49103    5.09354    4.73704     4.37438e-01
   2.51559    5.10978    4.72773     4.26466e-01
   2.54013    5.12391    4.71950     4.17316e-01
   2.56470    5.12566    4.69602     4.09029e-01
   2.58923    5.13397    4.68377     3.96902e-01
   2.61376    5.17322    4.69759     3.89096e-01
   2.63831    5.15651    4.65854     3.78935e-01
   2.66283    5.18104    4.65234     3.71205e-01
   2.68735    5.20473    4.65441     3.66655e-01
