# Subtracting SN=    3.37490e+01.
#        k         Pk_0_HI
   0.03471     1.46806e+04
   0.04533     1.22791e+04
   0.05750     8.85901e+03
   0.07243     7.77960e+03
   0.08030     6.33609e+03
   0.09129     4.65927e+03
   0.10670     3.85866e+03
   0.11962     3.72761e+03
   0.12974     3.62867e+03
   0.14416     2.61991e+03
   0.15607     2.40491e+03
   0.16886     2.10966e+03
   0.18066     1.84433e+03
   0.19462     1.59240e+03
   0.20682     1.55913e+03
   0.21908     1.39356e+03
   0.23113     1.33424e+03
   0.24367     1.21995e+03
   0.25601     1.08011e+03
   0.26906     1.01316e+03
   0.28135     9.92131e+02
   0.29458     8.26334e+02
   0.30676     8.20918e+02
   0.31943     7.75626e+02
   0.33214     7.77789e+02
   0.34474     6.81675e+02
   0.35626     6.24264e+02
   0.36909     5.81743e+02
   0.38137     5.60413e+02
   0.39368     5.46354e+02
   0.40596     5.20037e+02
   0.41935     4.95020e+02
   0.43138     4.36522e+02
   0.44349     4.33473e+02
   0.45625     3.94100e+02
   0.46966     3.86578e+02
   0.48162     3.78325e+02
   0.49397     3.61138e+02
   0.50656     3.37575e+02
   0.51863     3.40603e+02
   0.53044     3.15422e+02
   0.54375     3.02545e+02
   0.55676     2.85669e+02
   0.56902     2.66654e+02
   0.58090     2.63790e+02
   0.59394     2.53916e+02
   0.60659     2.49318e+02
   0.61858     2.36907e+02
   0.63073     2.36192e+02
   0.64386     2.14713e+02
   0.65636     2.12471e+02
   0.66869     2.03378e+02
   0.68131     1.97715e+02
   0.69392     1.95863e+02
   0.70632     1.86429e+02
   0.71842     1.74806e+02
   0.73133     1.77974e+02
   0.74383     1.60468e+02
   0.75642     1.59077e+02
   0.76892     1.55051e+02
   0.78169     1.50480e+02
   0.79408     1.44605e+02
   0.80610     1.42062e+02
   0.81834     1.37528e+02
   0.83113     1.31147e+02
   0.84356     1.23943e+02
   0.85621     1.18672e+02
   0.86876     1.14543e+02
   0.88154     1.11033e+02
   0.89355     1.15300e+02
   0.90634     1.06460e+02
   0.91886     1.06540e+02
   0.93130     1.03706e+02
   0.94392     9.54147e+01
   0.95621     9.74439e+01
   0.96854     9.41202e+01
   0.98126     9.63279e+01
   0.99357     8.82715e+01
   1.00643     8.59625e+01
   1.01870     8.21919e+01
   1.03126     8.24176e+01
   1.04402     8.03150e+01
   1.05654     8.05515e+01
   1.06869     7.72260e+01
   1.08129     7.23179e+01
   1.09371     7.18581e+01
   1.10646     7.28545e+01
   1.11883     6.82187e+01
   1.13137     6.78390e+01
   1.14381     6.35200e+01
   1.15611     6.40457e+01
   1.16847     6.18707e+01
   1.18123     5.88182e+01
   1.19379     5.70661e+01
   1.20615     5.70930e+01
   1.21876     5.56054e+01
   1.23169     5.29311e+01
   1.24362     5.31442e+01
   1.25596     5.17292e+01
   1.26862     5.04493e+01
   1.28125     4.84623e+01
   1.29378     4.73865e+01
   1.30632     4.59429e+01
   1.31873     4.54921e+01
   1.33129     4.49263e+01
   1.34365     4.13657e+01
   1.35617     4.17337e+01
   1.36877     4.16613e+01
   1.38124     4.03397e+01
   1.39384     3.85795e+01
   1.40620     3.78161e+01
   1.41870     3.72635e+01
   1.43133     3.64372e+01
   1.44395     3.54817e+01
   1.45629     3.45952e+01
   1.46888     3.27794e+01
   1.48123     3.25680e+01
   1.49385     3.20899e+01
   1.50637     3.17410e+01
   1.51879     2.94051e+01
   1.53118     2.99645e+01
   1.54377     2.82420e+01
   1.55620     2.85979e+01
   1.56872     2.72082e+01
   1.58120     2.77670e+01
   1.59371     2.56811e+01
   1.60599     2.49268e+01
   1.61865     2.53269e+01
   1.63133     2.37646e+01
   1.64389     2.37338e+01
   1.65620     2.30448e+01
   1.66875     2.19252e+01
   1.68124     2.26053e+01
   1.69373     2.15197e+01
   1.70613     2.10912e+01
   1.71876     2.10142e+01
   1.73122     1.95727e+01
   1.74388     1.92456e+01
   1.75630     1.88619e+01
   1.76889     1.84268e+01
   1.78135     1.76747e+01
   1.79367     1.83071e+01
   1.80623     1.72397e+01
   1.81883     1.65583e+01
