# Redshift space power spectrum multipoles.
# Subtracting SN=    6.46214e+00 from monopole.
#        k              P0              P2              P4
   0.05000     6.22639e+03     2.53008e+03     4.00433e+03
   0.07000     5.04414e+03     2.10778e+03    -1.39890e+03
   0.09000     3.44549e+03     6.36411e+02    -1.43398e+03
   0.11000     2.63848e+03     7.50133e+02    -1.07508e+01
   0.13000     2.28395e+03     9.72989e+02     7.99379e+02
   0.15000     1.70205e+03     5.77515e+02     1.60957e+02
   0.17000     1.37913e+03     4.75610e+02    -3.26436e+02
   0.19000     1.18544e+03     4.29680e+02    -8.56002e+00
   0.21000     1.03938e+03     3.70133e+02    -1.44983e+02
   0.23000     9.12880e+02     4.22261e+02     1.69054e+02
   0.25000     7.41958e+02     1.86872e+02    -1.10946e+02
   0.27000     6.85954e+02     1.97415e+02    -1.00600e+02
   0.29000     5.91985e+02     2.00734e+02    -4.52029e+01
   0.31000     5.56848e+02     2.90970e+02     6.11170e+01
   0.33000     5.17873e+02     2.21255e+02     9.68820e+01
   0.35000     4.34396e+02     1.81005e+02     9.90435e+01
   0.37000     3.95670e+02     1.38105e+02     1.53486e+01
   0.39000     3.80331e+02     1.71017e+02     2.17376e+01
   0.41000     3.43372e+02     1.15513e+02    -6.19209e+01
   0.43000     3.13415e+02     1.21331e+02     2.33691e+01
   0.45000     2.83772e+02     1.07920e+02     1.79370e+01
   0.47000     2.71098e+02     1.09410e+02     5.58242e+00
   0.49000     2.53753e+02     1.27655e+02     3.22141e+01
   0.51000     2.42351e+02     9.01595e+01     7.94883e+00
   0.53000     2.27167e+02     9.22399e+01    -1.01136e+01
   0.55000     2.06965e+02     7.57047e+01    -1.34224e+01
   0.57000     2.06764e+02     8.48738e+01     1.97368e+01
   0.59000     1.86710e+02     7.82999e+01     1.68230e+01
   0.61000     1.76992e+02     8.44605e+01    -4.89787e+00
   0.63000     1.71108e+02     7.45828e+01     2.14794e+01
   0.65000     1.59739e+02     6.91436e+01     6.19701e+00
   0.67000     1.59590e+02     8.09056e+01     7.03722e+00
   0.69000     1.49250e+02     7.55015e+01     4.01761e+00
   0.71000     1.41797e+02     6.65120e+01     2.02851e+01
   0.73000     1.31813e+02     6.46955e+01    -2.05307e+00
   0.75000     1.28850e+02     7.06051e+01     7.83918e+00
   0.77000     1.24983e+02     6.46054e+01     2.59907e+01
   0.79000     1.19320e+02     5.84007e+01     1.26783e+01
   0.81000     1.13775e+02     5.17347e+01     6.79302e+00
   0.83000     1.08417e+02     5.07586e+01    -4.86199e+00
   0.85000     1.03795e+02     5.62838e+01     4.93476e-01
   0.87000     1.01710e+02     5.36244e+01     1.75835e+01
   0.89000     9.75849e+01     5.03831e+01    -3.08046e-01
   0.91000     9.44083e+01     5.41952e+01     1.71279e+01
   0.93000     9.03213e+01     5.26140e+01     1.28321e+01
   0.95000     8.66956e+01     4.27558e+01     2.80002e+00
   0.97000     8.41685e+01     4.60676e+01     1.08537e+01
   0.99000     8.31457e+01     4.72597e+01     1.24233e+01
   1.01000     7.99260e+01     4.21341e+01     1.18420e+01
   1.03000     7.77131e+01     4.00795e+01     4.81384e+00
   1.05000     7.53561e+01     4.19911e+01     8.13695e+00
   1.07000     7.22495e+01     4.15632e+01     1.42067e+01
   1.09000     6.94751e+01     3.68918e+01     8.80370e+00
   1.11000     6.61035e+01     3.51243e+01     1.38517e+01
   1.13000     6.77640e+01     3.54037e+01     7.12312e+00
