# Subtracting SN=    3.37490e+01.
#        k         Pk_0_HI
   0.03471     1.46818e+04
   0.04533     1.22806e+04
   0.05750     8.86114e+03
   0.07243     7.78160e+03
   0.08030     6.33924e+03
   0.09129     4.66110e+03
   0.10670     3.86242e+03
   0.11962     3.73174e+03
   0.12974     3.63335e+03
   0.14416     2.62395e+03
   0.15607     2.41021e+03
   0.16886     2.11509e+03
   0.18066     1.84995e+03
   0.19462     1.59703e+03
   0.20682     1.56341e+03
   0.21908     1.39984e+03
   0.23113     1.34131e+03
   0.24367     1.22592e+03
   0.25601     1.08685e+03
   0.26906     1.01988e+03
   0.28135     9.98271e+02
   0.29458     8.31861e+02
   0.30676     8.28420e+02
   0.31943     7.83126e+02
   0.33214     7.85363e+02
   0.34474     6.89606e+02
   0.35626     6.30988e+02
   0.36909     5.89622e+02
   0.38137     5.67786e+02
   0.39368     5.53880e+02
   0.40596     5.27914e+02
   0.41935     5.02952e+02
   0.43138     4.43619e+02
   0.44349     4.40954e+02
   0.45625     4.01507e+02
   0.46966     3.94322e+02
   0.48162     3.86110e+02
   0.49397     3.69176e+02
   0.50656     3.45344e+02
   0.51863     3.48693e+02
   0.53044     3.22843e+02
   0.54375     3.10539e+02
   0.55676     2.93172e+02
   0.56902     2.73485e+02
   0.58090     2.71135e+02
   0.59394     2.60893e+02
   0.60659     2.56749e+02
   0.61858     2.45144e+02
   0.63073     2.43791e+02
   0.64386     2.22049e+02
   0.65636     2.19635e+02
   0.66869     2.10463e+02
   0.68131     2.04763e+02
   0.69392     2.02863e+02
   0.70632     1.94290e+02
   0.71842     1.81588e+02
   0.73133     1.85123e+02
   0.74383     1.66915e+02
   0.75642     1.65802e+02
   0.76892     1.61288e+02
   0.78169     1.57188e+02
   0.79408     1.50907e+02
   0.80610     1.48647e+02
   0.81834     1.44205e+02
   0.83113     1.37500e+02
   0.84356     1.30039e+02
   0.85621     1.24657e+02
   0.86876     1.20498e+02
   0.88154     1.17175e+02
   0.89355     1.21448e+02
   0.90634     1.12285e+02
   0.91886     1.12513e+02
   0.93130     1.09747e+02
   0.94392     1.01224e+02
   0.95621     1.03441e+02
   0.96854     1.00036e+02
   0.98126     1.02343e+02
   0.99357     9.34977e+01
   1.00643     9.14759e+01
   1.01870     8.77656e+01
   1.03126     8.79272e+01
   1.04402     8.56632e+01
   1.05654     8.58082e+01
   1.06869     8.27466e+01
   1.08129     7.75681e+01
   1.09371     7.72415e+01
   1.10646     7.81759e+01
   1.11883     7.32797e+01
   1.13137     7.30286e+01
   1.14381     6.85993e+01
   1.15611     6.91862e+01
   1.16847     6.67999e+01
   1.18123     6.35275e+01
   1.19379     6.20532e+01
   1.20615     6.20826e+01
   1.21876     6.03220e+01
   1.23169     5.75792e+01
   1.24362     5.78238e+01
   1.25596     5.64052e+01
   1.26862     5.50037e+01
   1.28125     5.29039e+01
   1.29378     5.19578e+01
   1.30632     5.03110e+01
   1.31873     4.99719e+01
   1.33129     4.92458e+01
   1.34365     4.58201e+01
   1.35617     4.60320e+01
   1.36877     4.60524e+01
   1.38124     4.47771e+01
   1.39384     4.27211e+01
   1.40620     4.20370e+01
   1.41870     4.15104e+01
   1.43133     4.04353e+01
   1.44395     3.95420e+01
   1.45629     3.86071e+01
   1.46888     3.67726e+01
   1.48123     3.64562e+01
   1.49385     3.60138e+01
   1.50637     3.57031e+01
   1.51879     3.32741e+01
   1.53118     3.40503e+01
   1.54377     3.19196e+01
   1.55620     3.25205e+01
   1.56872     3.09883e+01
   1.58120     3.16018e+01
   1.59371     2.94723e+01
   1.60599     2.85370e+01
   1.61865     2.90461e+01
   1.63133     2.73211e+01
   1.64389     2.73900e+01
   1.65620     2.65814e+01
   1.66875     2.53215e+01
   1.68124     2.60756e+01
   1.69373     2.48870e+01
   1.70613     2.44498e+01
   1.71876     2.43982e+01
   1.73122     2.28735e+01
   1.74388     2.25967e+01
   1.75630     2.21541e+01
   1.76889     2.17417e+01
   1.78135     2.09417e+01
   1.79367     2.16053e+01
   1.80623     2.04497e+01
   1.81883     1.96585e+01
   1.83105     1.92319e+01
   1.84372     1.89339e+01
   1.85626     1.80028e+01
   1.86877     1.79148e+01
   1.88126     1.82091e+01
   1.89376     1.64982e+01
   1.90612     1.63282e+01
   1.91872     1.63924e+01
   1.93133     1.61707e+01
   1.94390     1.55353e+01
   1.95627     1.49808e+01
   1.96884     1.46325e+01
   1.98128     1.40828e+01
   1.99360     1.39167e+01
   2.00601     1.35557e+01
   2.01865     1.31494e+01
   2.03129     1.35225e+01
   2.04372     1.30383e+01
   2.05627     1.21087e+01
   2.06890     1.19387e+01
   2.08129     1.13954e+01
   2.09355     1.17247e+01
   2.10609     1.07453e+01
   2.11865     1.09027e+01
   2.13110     9.95023e+00
   2.14358     1.04005e+01
   2.15632     1.00930e+01
   2.16888     9.99310e+00
   2.18136     9.72653e+00
   2.19375     8.95625e+00
   2.20648     8.78593e+00
   2.21891     8.46078e+00
   2.23127     8.31843e+00
   2.24362     7.98924e+00
   2.25610     7.90361e+00
   2.26860     7.45121e+00
   2.28134     7.15753e+00
   2.29396     6.78359e+00
   2.30651     6.23722e+00
   2.31883     6.51663e+00
   2.33131     6.27820e+00
   2.34379     6.14230e+00
   2.35620     6.01993e+00
   2.36856     5.33387e+00
   2.38127     5.36942e+00
   2.39387     5.12644e+00
   2.40629     5.25053e+00
   2.41869     4.49182e+00
   2.43124     4.14734e+00
   2.44369     4.24365e+00
   2.45637     4.18968e+00
   2.46879     3.24155e+00
   2.48121     3.52498e+00
   2.49370     3.24533e+00
   2.50623     2.99487e+00
   2.51865     3.10801e+00
   2.53107     2.60579e+00
   2.54368     2.30188e+00
   2.55639     2.39524e+00
   2.56875     2.19020e+00
   2.58134     1.71004e+00
   2.59382     1.64014e+00
   2.60628     1.44560e+00
   2.61873     1.28693e+00
   2.63125     7.54761e-01
   2.64375     7.65041e-01
   2.65626     1.20499e+00
   2.66870     4.63151e-01
   2.68122     1.11913e-01
   2.69374     1.71808e-01
   2.70638    -2.22981e-03
   2.71888    -7.28719e-02
   2.73125    -4.68043e-01
   2.74389    -4.63482e-01
   2.75628    -3.41432e-01
   2.76868    -7.27687e-01
   2.78115    -8.36374e-01
   2.79379    -9.18349e-01
   2.80639    -1.41434e+00
   2.81871    -1.42081e+00
   2.83124    -1.60129e+00
   2.84389    -1.74805e+00
   2.85622    -1.87213e+00
   2.86878    -2.28363e+00
   2.88116    -2.11057e+00
   2.89358    -2.34914e+00
   2.90611    -2.63133e+00
   2.91881    -2.64838e+00
   2.93135    -2.98975e+00
   2.94381    -3.19846e+00
   2.95620    -3.08857e+00
   2.96870    -3.40336e+00
   2.98120    -3.35408e+00
   2.99376    -3.68206e+00
   3.00626    -3.65623e+00
   3.01885    -3.97307e+00
   3.03130    -3.89362e+00
   3.04377    -4.16300e+00
   3.05623    -4.43779e+00
   3.06869    -4.47212e+00
   3.08114    -4.65831e+00
   3.09378    -4.78862e+00
   3.10624    -4.77973e+00
   3.11878    -5.08544e+00
   3.13134    -5.32053e+00
   3.14383    -5.33435e+00
   3.15628    -5.46361e+00
   3.16884    -5.51117e+00
   3.18136    -5.67551e+00
   3.19383    -5.67586e+00
   3.20620    -5.97631e+00
   3.21875    -5.95314e+00
   3.23127    -6.28329e+00
   3.24385    -6.19830e+00
   3.25632    -6.65603e+00
   3.26882    -6.65324e+00
   3.28133    -6.79787e+00
   3.29378    -6.98219e+00
   3.30621    -7.11623e+00
   3.31875    -7.20408e+00
   3.33129    -7.23729e+00
   3.34376    -7.43669e+00
   3.35620    -7.59392e+00
   3.36875    -7.80226e+00
   3.38131    -7.68254e+00
   3.39380    -7.94868e+00
   3.40627    -7.86437e+00
   3.41876    -8.05496e+00
   3.43124    -8.38084e+00
   3.44372    -8.25779e+00
   3.45640    -8.61109e+00
   3.46891    -8.57235e+00
   3.48134    -8.86273e+00
   3.49375    -8.64231e+00
   3.50630    -8.97525e+00
   3.51882    -9.05571e+00
   3.53127    -9.15686e+00
   3.54369    -9.32185e+00
   3.55628    -9.55666e+00
   3.56869    -9.51614e+00
   3.58119    -9.74497e+00
   3.59375    -9.88113e+00
   3.60629    -9.89868e+00
   3.61878    -1.00117e+01
   3.63126    -1.02502e+01
   3.64371    -1.02816e+01
   3.65630    -1.03018e+01
   3.66876    -1.03477e+01
   3.68123    -1.05518e+01
   3.69375    -1.06079e+01
   3.70626    -1.07597e+01
   3.71877    -1.09240e+01
   3.73139    -1.08567e+01
   3.74372    -1.11095e+01
   3.75625    -1.09717e+01
   3.76880    -1.12860e+01
   3.78124    -1.12453e+01
   3.79373    -1.15030e+01
   3.80635    -1.15422e+01
   3.81877    -1.17850e+01
   3.83124    -1.17873e+01
   3.84376    -1.18957e+01
   3.85635    -1.19455e+01
   3.86882    -1.21620e+01
   3.88122    -1.21557e+01
   3.89365    -1.22303e+01
   3.90632    -1.23223e+01
   3.91889    -1.25201e+01
   3.93133    -1.25444e+01
   3.94373    -1.28119e+01
   3.95623    -1.28603e+01
   3.96866    -1.29572e+01
   3.98123    -1.30172e+01
   3.99373    -1.31776e+01
   4.00625    -1.32726e+01
   4.01870    -1.33570e+01
   4.03118    -1.34547e+01
   4.04374    -1.35407e+01
   4.05624    -1.36882e+01
   4.06881    -1.37634e+01
   4.08134    -1.38251e+01
   4.09380    -1.39542e+01
   4.10620    -1.39590e+01
   4.11874    -1.41274e+01
   4.13120    -1.42381e+01
   4.14377    -1.43856e+01
   4.15631    -1.43425e+01
   4.16881    -1.44757e+01
   4.18137    -1.45155e+01
   4.19383    -1.46306e+01
   4.20619    -1.46528e+01
   4.21870    -1.48451e+01
   4.23112    -1.48637e+01
   4.24368    -1.49244e+01
   4.25627    -1.50764e+01
   4.26880    -1.51941e+01
   4.28128    -1.53090e+01
   4.29387    -1.53742e+01
   4.30632    -1.54530e+01
   4.31885    -1.55983e+01
   4.33130    -1.55844e+01
   4.34381    -1.57287e+01
   4.35632    -1.58145e+01
   4.36880    -1.58866e+01
   4.38125    -1.59827e+01
   4.39378    -1.61605e+01
   4.40625    -1.61650e+01
   4.41877    -1.63063e+01
   4.43122    -1.64888e+01
   4.44377    -1.64274e+01
   4.45625    -1.65919e+01
   4.46877    -1.66090e+01
   4.48129    -1.67109e+01
   4.49376    -1.68256e+01
   4.50616    -1.68629e+01
   4.51874    -1.69305e+01
   4.53127    -1.70397e+01
   4.54376    -1.71440e+01
   4.55621    -1.71176e+01
   4.56875    -1.71849e+01
   4.58125    -1.73546e+01
   4.59379    -1.74048e+01
   4.60625    -1.75896e+01
   4.61876    -1.75513e+01
   4.63127    -1.77073e+01
   4.64379    -1.77824e+01
   4.65623    -1.77882e+01
   4.66878    -1.78786e+01
   4.68132    -1.79975e+01
   4.69382    -1.79734e+01
   4.70628    -1.81645e+01
   4.71875    -1.81564e+01
   4.73126    -1.82428e+01
   4.74373    -1.83540e+01
