# Redshift space power spectrum multipoles.
# Subtracting SN=    1.69381e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.00003e+03     5.58139e+03     6.68928e+03
   0.07000     6.53287e+03     4.36620e+03    -2.11549e+03
   0.09000     4.19751e+03     1.68952e+03    -2.06503e+03
   0.11000     3.20640e+03     1.80343e+03     2.95377e+02
   0.13000     2.91303e+03     2.14354e+03     1.08209e+03
   0.15000     2.08804e+03     1.36861e+03     5.62195e+02
   0.17000     1.69001e+03     9.64789e+02    -6.28828e+02
   0.19000     1.39510e+03     7.12993e+02     2.91704e+01
   0.21000     1.26169e+03     8.19790e+02    -1.97996e+02
   0.23000     1.10062e+03     7.97864e+02     2.40467e+02
   0.25000     9.24024e+02     5.12598e+02    -1.67551e+01
   0.27000     8.63586e+02     4.61400e+02    -7.94962e+01
   0.29000     7.10230e+02     4.03422e+02    -8.22743e+01
   0.31000     6.63450e+02     4.85587e+02     3.41928e+01
   0.33000     6.45866e+02     4.57496e+02     2.06688e+02
   0.35000     5.28469e+02     3.18236e+02     1.51147e+02
   0.37000     4.91485e+02     3.11239e+02     3.31826e+01
   0.39000     4.53298e+02     3.04441e+02     4.87612e+01
   0.41000     4.26270e+02     2.89108e+02    -2.56557e+01
   0.43000     3.74373e+02     2.08677e+02     2.00640e+01
   0.45000     3.40874e+02     2.14511e+02     7.15213e+01
   0.47000     3.24765e+02     2.25692e+02     3.56602e+01
   0.49000     3.07894e+02     2.12036e+02     4.14660e+01
   0.51000     2.92932e+02     1.86383e+02     1.54251e+00
   0.53000     2.66693e+02     1.60077e+02    -1.75509e+00
   0.55000     2.47124e+02     1.58532e+02     1.52231e+01
   0.57000     2.31836e+02     1.25946e+02     5.47987e+01
   0.59000     2.18795e+02     1.28048e+02     3.46172e+01
   0.61000     2.07565e+02     1.13160e+02    -3.36876e+00
   0.63000     2.00725e+02     1.18530e+02     3.15536e+01
   0.65000     1.83792e+02     1.01467e+02     2.51363e+01
   0.67000     1.73859e+02     1.10036e+02     1.35110e+01
   0.69000     1.69970e+02     1.05024e+02     9.09514e-01
   0.71000     1.59264e+02     1.04427e+02     3.52827e+01
   0.73000     1.50079e+02     8.93843e+01     8.27013e+00
   0.75000     1.39028e+02     7.37768e+01     1.55511e+01
   0.77000     1.38797e+02     8.30931e+01     3.42756e+01
   0.79000     1.29564e+02     6.90744e+01     1.53673e+01
   0.81000     1.22960e+02     6.83310e+01     2.25329e+01
   0.83000     1.17221e+02     5.89792e+01    -2.75976e-01
   0.85000     1.08469e+02     5.74356e+01     4.09190e+00
   0.87000     1.05027e+02     5.16603e+01     1.47231e+01
   0.89000     1.01387e+02     4.92137e+01     5.57734e+00
   0.91000     9.74885e+01     4.91455e+01     1.82407e+01
   0.93000     9.49725e+01     4.64156e+01     2.78792e+00
   0.95000     8.90603e+01     5.26394e+01     1.25731e+01
   0.97000     8.67674e+01     4.74410e+01     1.15894e+01
   0.99000     8.38699e+01     3.53211e+01     1.18702e+01
   1.01000     8.04582e+01     3.94711e+01     1.75286e+01
   1.03000     7.72221e+01     3.05268e+01     1.00698e+00
   1.05000     7.44618e+01     3.08827e+01     5.97327e+00
   1.07000     7.20070e+01     3.13662e+01     3.85358e+00
   1.09000     6.79516e+01     2.91691e+01     1.04303e+01
   1.11000     6.70041e+01     2.53981e+01     1.25440e+01
   1.13000     6.40747e+01     2.40693e+01     8.94400e+00
   1.15000     6.19184e+01     2.54825e+01     1.27221e+01
   1.17000     5.84645e+01     1.96414e+01     6.25945e+00
   1.19000     5.61028e+01     2.12272e+01     7.00195e+00
   1.21000     5.39282e+01     2.12013e+01     8.04786e+00
   1.23000     5.21429e+01     1.80343e+01     8.90078e+00
   1.25000     5.03105e+01     1.37952e+01     6.38130e+00
   1.27000     4.84634e+01     1.58931e+01     5.05122e+00
   1.29000     4.76807e+01     1.59422e+01     5.75183e+00
   1.31000     4.44680e+01     1.43638e+01     7.32114e+00
   1.33000     4.45634e+01     1.33189e+01     5.52911e+00
   1.35000     4.22197e+01     1.13070e+01     6.85790e+00
   1.37000     4.11552e+01     9.12970e+00     7.95829e+00
   1.39000     3.93993e+01     1.03635e+01     6.95629e+00
   1.41000     3.80468e+01     8.10201e+00     4.13617e+00
   1.43000     3.70670e+01     7.08194e+00     8.46837e+00
   1.45000     3.63938e+01     7.12294e+00     3.77072e+00
   1.47000     3.41159e+01     6.73965e+00     4.78333e+00
   1.49000     3.33301e+01     4.95036e+00     4.37867e+00
   1.51000     3.15816e+01     2.96122e+00     4.41117e+00
   1.53000     3.09501e+01     3.35137e+00     4.87975e+00
   1.55000     3.03725e+01     3.50046e+00     7.04125e+00
   1.57000     2.90218e+01     3.02916e+00     6.40374e+00
   1.59000     2.83840e+01     3.15776e+00     3.63763e+00
   1.61000     2.70803e+01     1.79070e+00     5.80263e+00
   1.63000     2.65629e+01     2.60322e+00     6.44250e+00
   1.65000     2.54698e+01     1.19111e+00     7.58177e+00
   1.67000     2.46591e+01     2.31752e+00     4.06102e+00
   1.69000     2.45038e+01     1.42338e+00     6.26563e+00
   1.71000     2.35765e+01     5.91220e-01     4.06333e+00
   1.73000     2.26150e+01     5.49614e-01     3.50605e+00
   1.75000     2.19967e+01    -2.01529e-03     6.04608e+00
   1.77000     2.09768e+01    -9.46425e-01     5.33695e+00
   1.79000     2.04338e+01    -8.58458e-01     4.52511e+00
   1.81000     1.98214e+01    -9.41443e-01     4.19222e+00
   1.83000     1.88739e+01    -1.11091e+00     5.68670e+00
   1.85000     1.83880e+01    -1.49894e+00     5.64387e+00
   1.87000     1.83932e+01    -9.53975e-01     4.55999e+00
   1.89000     1.77683e+01    -1.67407e+00     5.02832e+00
   1.91000     1.69615e+01    -1.89116e+00     5.29474e+00
   1.93000     1.62745e+01    -1.71403e+00     4.04430e+00
   1.95000     1.57707e+01    -1.80972e+00     4.72360e+00
   1.97000     1.53810e+01    -2.00909e+00     6.32644e+00
   1.99000     1.50700e+01    -3.01575e+00     4.67560e+00
   2.01000     1.43617e+01    -3.14318e+00     4.12067e+00
   2.03000     1.41153e+01    -3.66557e+00     4.89019e+00
   2.05000     1.34426e+01    -2.76297e+00     5.13880e+00
   2.07000     1.29217e+01    -3.96684e+00     4.64628e+00
   2.09000     1.25093e+01    -3.01200e+00     5.04825e+00
   2.11000     1.20870e+01    -3.45067e+00     3.61353e+00
   2.13000     1.16776e+01    -3.15340e+00     4.83909e+00
   2.15000     1.16088e+01    -3.42257e+00     3.81051e+00
   2.17000     1.10923e+01    -3.30893e+00     4.60541e+00
   2.19000     1.09291e+01    -4.34143e+00     5.37913e+00
   2.21000     1.03333e+01    -4.45269e+00     4.41174e+00
   2.23000     1.00649e+01    -3.85917e+00     3.59367e+00
   2.25000     9.55823e+00    -3.15069e+00     3.93595e+00
   2.27000     9.20199e+00    -4.37089e+00     3.92783e+00
   2.29000     8.85557e+00    -3.75181e+00     5.21088e+00
   2.31000     8.59664e+00    -4.00565e+00     3.74731e+00
   2.33000     8.33185e+00    -4.16870e+00     3.84935e+00
   2.35000     8.03290e+00    -4.24670e+00     4.84000e+00
   2.37000     7.52147e+00    -4.06273e+00     3.36467e+00
   2.39000     7.47736e+00    -4.07730e+00     4.27918e+00
   2.41000     7.13545e+00    -3.96693e+00     4.91499e+00
   2.43000     6.89312e+00    -4.24875e+00     4.79744e+00
   2.45000     6.62571e+00    -4.49883e+00     3.84141e+00
   2.47000     6.20062e+00    -4.40773e+00     3.77819e+00
   2.49000     5.92638e+00    -4.35102e+00     4.01937e+00
   2.51000     5.63693e+00    -3.94275e+00     4.77807e+00
   2.53000     5.47814e+00    -4.21712e+00     3.53033e+00
   2.55000     5.26385e+00    -4.85719e+00     3.97806e+00
   2.57000     5.18723e+00    -4.40426e+00     3.99524e+00
   2.59000     4.79486e+00    -4.07137e+00     3.75785e+00
   2.61000     4.53370e+00    -4.23963e+00     4.49661e+00
   2.63000     4.21902e+00    -4.51434e+00     3.73127e+00
   2.65000     4.13786e+00    -4.42946e+00     4.10183e+00
   2.67000     3.98843e+00    -4.83438e+00     3.80135e+00
   2.69000     3.71316e+00    -4.26122e+00     3.63203e+00
   2.71000     3.54622e+00    -4.65803e+00     4.27562e+00
   2.73000     3.21125e+00    -4.58564e+00     4.07514e+00
   2.75000     3.15685e+00    -4.46794e+00     3.77251e+00
   2.77000     2.92136e+00    -4.59393e+00     4.18340e+00
   2.79000     2.57947e+00    -4.44396e+00     3.51975e+00
   2.81000     2.35484e+00    -4.30360e+00     4.33784e+00
   2.83000     2.14355e+00    -4.53027e+00     3.47535e+00
   2.85000     2.21237e+00    -4.48379e+00     3.90153e+00
   2.87000     1.80779e+00    -4.53041e+00     3.49291e+00
   2.89000     1.70263e+00    -4.48503e+00     3.96585e+00
   2.91000     1.53108e+00    -4.21079e+00     3.50714e+00
   2.93000     1.18981e+00    -4.43928e+00     3.77362e+00
   2.95000     1.17492e+00    -4.35583e+00     3.91104e+00
   2.97000     9.58143e-01    -4.35929e+00     3.53055e+00
   2.99000     7.32654e-01    -4.22980e+00     3.63519e+00
   3.01000     5.29177e-01    -4.31241e+00     3.32397e+00
   3.03000     4.53582e-01    -4.45782e+00     3.65542e+00
   3.05000     2.82061e-01    -4.02699e+00     3.73312e+00
   3.07000     9.95633e-02    -4.34421e+00     3.24691e+00
   3.09000    -2.48073e-02    -4.33883e+00     3.49737e+00
   3.11000    -2.28635e-01    -4.20563e+00     3.38817e+00
   3.13000    -3.31135e-01    -4.11655e+00     3.77281e+00
   3.15000    -4.42841e-01    -4.09046e+00     3.67775e+00
