# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
1.0000e-04 3.7724e-07 -9.2856e-08 1.4227e-07 1.4218e-07 8.2314e-03 1.6462e-02
1.0093e-04 3.9135e-07 -9.6315e-08 1.4760e-07 1.4751e-07 8.3845e-03 1.6768e-02
1.0186e-04 4.0599e-07 -9.9904e-08 1.5313e-07 1.5303e-07 8.5405e-03 1.7080e-02
1.0280e-04 4.2117e-07 -1.0363e-07 1.5887e-07 1.5876e-07 8.6993e-03 1.7397e-02
1.0375e-04 4.3692e-07 -1.0749e-07 1.6481e-07 1.6471e-07 8.8611e-03 1.7721e-02
1.0472e-04 4.5326e-07 -1.1149e-07 1.7099e-07 1.7087e-07 9.0259e-03 1.8051e-02
1.0568e-04 4.7021e-07 -1.1564e-07 1.7739e-07 1.7727e-07 9.1938e-03 1.8386e-02
1.0666e-04 4.8779e-07 -1.1995e-07 1.8403e-07 1.8391e-07 9.3648e-03 1.8728e-02
1.0765e-04 5.0603e-07 -1.2442e-07 1.9092e-07 1.9080e-07 9.5390e-03 1.9077e-02
1.0865e-04 5.2495e-07 -1.2905e-07 1.9807e-07 1.9794e-07 9.7165e-03 1.9431e-02
1.0965e-04 5.4457e-07 -1.3385e-07 2.0549e-07 2.0535e-07 9.8972e-03 1.9793e-02
1.1067e-04 5.6493e-07 -1.3884e-07 2.1318e-07 2.1304e-07 1.0081e-02 2.0161e-02
1.1169e-04 5.8605e-07 -1.4401e-07 2.2117e-07 2.2101e-07 1.0269e-02 2.0536e-02
1.1273e-04 6.0796e-07 -1.4937e-07 2.2945e-07 2.2929e-07 1.0460e-02 2.0918e-02
1.1377e-04 6.3069e-07 -1.5493e-07 2.3804e-07 2.3787e-07 1.0654e-02 2.1307e-02
1.1482e-04 6.5426e-07 -1.6069e-07 2.4695e-07 2.4677e-07 1.0853e-02 2.1703e-02
1.1589e-04 6.7872e-07 -1.6667e-07 2.5619e-07 2.5601e-07 1.1054e-02 2.2107e-02
1.1696e-04 7.0409e-07 -1.7288e-07 2.6578e-07 2.6559e-07 1.1260e-02 2.2518e-02
1.1804e-04 7.3040e-07 -1.7931e-07 2.7573e-07 2.7553e-07 1.1469e-02 2.2937e-02
1.1913e-04 7.5770e-07 -1.8598e-07 2.8606e-07 2.8585e-07 1.1683e-02 2.3363e-02
1.2024e-04 7.8602e-07 -1.9290e-07 2.9677e-07 2.9655e-07 1.1900e-02 2.3798e-02
1.2135e-04 8.1539e-07 -2.0008e-07 3.0787e-07 3.0764e-07 1.2121e-02 2.4240e-02
1.2247e-04 8.4587e-07 -2.0752e-07 3.1940e-07 3.1916e-07 1.2347e-02 2.4691e-02
1.2361e-04 8.7747e-07 -2.1524e-07 3.3135e-07 3.3110e-07 1.2577e-02 2.5151e-02
1.2475e-04 9.1026e-07 -2.2325e-07 3.4376e-07 3.4349e-07 1.2810e-02 2.5618e-02
1.2591e-04 9.4427e-07 -2.3155e-07 3.5662e-07 3.5635e-07 1.3049e-02 2.6095e-02
1.2707e-04 9.7956e-07 -2.4016e-07 3.6997e-07 3.6968e-07 1.3291e-02 2.6580e-02
1.2825e-04 1.0162e-06 -2.4909e-07 3.8382e-07 3.8352e-07 1.3539e-02 2.7074e-02
1.2944e-04 1.0541e-06 -2.5835e-07 3.9818e-07 3.9787e-07 1.3791e-02 2.7578e-02
1.3063e-04 1.0935e-06 -2.6796e-07 4.1309e-07 4.1276e-07 1.4047e-02 2.8091e-02
