# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.3048e+02 1.1157e-04 -5.2967e-05 2.7601e+02 1.6043e+01 -6.5772e-05 2.4136e+00 4.6235e-04 4.0651e-04 3.0739e-04 6.4345e+00 4.2885e+00 0.0000e+00 0.0000e+00
1.1775e-03 1.5169e+02 1.8279e-04 -8.5203e-05 3.1412e+02 5.7499e+01 -9.0451e-05 2.4136e+00 6.4146e-04 5.6347e-04 4.2482e-04 6.4337e+00 4.2875e+00 0.0000e+00 0.0000e+00
1.3865e-03 1.7614e+02 2.9751e-04 -1.3684e-04 3.5470e+02 1.0101e+02 -1.2402e-04 2.4135e+00 8.9013e-04 7.8073e-04 5.8645e-04 6.4326e+00 4.2861e+00 0.0000e+00 0.0000e+00
1.6326e-03 2.0423e+02 4.8141e-04 -2.1931e-04 4.1755e+02 1.4664e+02 -1.6933e-04 2.4135e+00 1.2355e-03 1.0811e-03 8.0839e-04 6.4310e+00 4.2842e+00 0.0000e+00 0.0000e+00
1.9224e-03 2.3630e+02 7.7471e-04 -3.5048e-04 4.8348e+02 1.9442e+02 -2.2989e-04 2.4134e+00 1.7155e-03 1.4954e-03 1.1122e-03 6.4289e+00 4.2815e+00 0.0000e+00 0.0000e+00
2.2636e-03 2.7266e+02 1.2400e-03 -5.5799e-04 5.4838e+02 2.4438e+02 -3.0968e-04 2.4133e+00 2.3830e-03 2.0652e-03 1.5263e-03 6.4260e+00 4.2779e+00 0.0000e+00 0.0000e+00
2.6654e-03 3.1346e+02 1.9741e-03 -8.8394e-04 6.2878e+02 2.9650e+02 -4.1261e-04 2.4131e+00 3.3119e-03 2.8451e-03 2.0876e-03 6.4220e+00 4.2730e+00 0.0000e+00 0.0000e+00
3.1386e-03 3.5873e+02 3.1244e-03 -1.3914e-03 7.1940e+02 3.5069e+02 -5.4132e-04 2.4129e+00 4.6058e-03 3.9052e-03 2.8430e-03 6.4164e+00 4.2662e+00 0.0000e+00 0.0000e+00
3.6957e-03 4.0834e+02 4.9139e-03 -2.1733e-03 8.1725e+02 4.0681e+02 -6.9451e-04 2.4126e+00 6.4105e-03 5.3312e-03 3.8501e-03 6.4088e+00 4.2570e+00 0.0000e+00 0.0000e+00
4.3517e-03 4.6198e+02 7.6728e-03 -3.3632e-03 9.2360e+02 4.6458e+02 -8.6177e-04 2.4122e+00 8.9304e-03 7.2216e-03 5.1763e-03 6.3983e+00 4.2445e+00 0.0000e+00 0.0000e+00
5.1241e-03 5.1908e+02 1.1882e-02 -5.1480e-03 1.0372e+03 5.2356e+02 -1.0140e-03 2.4117e+00 1.2454e-02 9.6758e-03 6.8945e-03 6.3839e+00 4.2277e+00 0.0000e+00 0.0000e+00
6.0336e-03 5.7852e+02 1.8221e-02 -7.7787e-03 1.1559e+03 5.8303e+02 -1.0867e-03 2.4109e+00 1.7388e-02 1.2770e-02 9.0733e-03 6.3643e+00 4.2053e+00 0.0000e+00 0.0000e+00
7.1046e-03 6.3852e+02 2.7623e-02 -1.1572e-02 1.2763e+03 6.4194e+02 -9.5087e-04 2.4098e+00 2.4303e-02 1.6519e-02 1.1758e-02 6.3377e+00 4.1757e+00 0.0000e+00 0.0000e+00
8.3657e-03 6.9689e+02 4.1314e-02 -1.6900e-02 1.3937e+03 6.9869e+02 -3.6658e-04 2.4084e+00 3.4001e-02 2.0816e-02 1.4939e-02 6.3019e+00 4.1372e+00 0.0000e+00 0.0000e+00
9.8506e-03 7.5065e+02 6.0814e-02 -2.4147e-02 1.5016e+03 7.5096e+02 1.0884e-03 2.4064e+00 4.7594e-02 2.5383e-02 1.8506e-02 6.2541e+00 4.0875e+00 0.0000e+00 0.0000e+00
1.1599e-02 7.9597e+02 8.7850e-02 -3.3606e-02 1.5924e+03 7.9549e+02 4.1199e-03 2.4037e+00 6.6600e-02 2.9710e-02 2.2189e-02 6.1909e+00 4.0247e+00 0.0000e+00 0.0000e+00
1.3658e-02 8.2840e+02 1.2410e-01 -4.5321e-02 1.6572e+03 8.2792e+02 9.8408e-03 2.4000e+00 9.3040e-02 3.2993e-02 2.5503e-02 6.1085e+00 3.9467e+00 0.0000e+00 0.0000e+00
1.6082e-02 8.4296e+02 1.7069e-01 -5.8845e-02 1.6862e+03 8.4301e+02 1.9891e-02 2.3950e+00 1.2949e-01 3.3977e-02 2.7714e-02 6.0027e+00 3.8516e+00 0.0000e+00 0.0000e+00
1.8937e-02 8.3483e+02 2.2744e-01 -7.2971e-02 1.6701e+03 8.3538e+02 3.6481e-02 2.3883e+00 1.7900e-01 3.0853e-02 2.7885e-02 5.8693e+00 3.7380e+00 0.0000e+00 0.0000e+00
2.2298e-02 8.0060e+02 2.9209e-01 -8.5597e-02 1.6019e+03 8.0125e+02 6.2268e-02 2.3793e+00 2.4487e-01 2.1759e-02 2.5034e-02 5.7048e+00 3.6052e+00 0.0000e+00 0.0000e+00
2.6256e-02 7.4018e+02 3.5984e-01 -9.3954e-02 1.4812e+03 7.4075e+02 9.9930e-02 2.3672e+00 3.3000e-01 5.6366e-03 1.8410e-02 5.5062e+00 3.4525e+00 0.0000e+00 0.0000e+00
3.0917e-02 6.5883e+02 4.2469e-01 -9.5508e-02 1.3187e+03 6.5958e+02 1.5142e-01 2.3511e+00 4.3613e-01 -1.8020e-02 7.7569e-03 5.2717e+00 3.2798e+00 0.0000e+00 0.0000e+00
3.6405e-02 5.6819e+02 4.8315e-01 -8.9409e-02 1.1377e+03 5.6917e+02 2.1730e-01 2.3298e+00 5.6329e-01 -4.8685e-02 -6.7507e-03 5.0002e+00 3.0874e+00 0.0000e+00 0.0000e+00
4.2867e-02 4.8388e+02 5.3960e-01 -7.7556e-02 9.6926e+02 4.8496e+02 2.9735e-01 2.3018e+00 7.1045e-01 -8.6124e-02 -2.5190e-02 4.6903e+00 2.8773e+00 0.0000e+00 0.0000e+00
5.0475e-02 4.1875e+02 6.0769e-01 -6.3165e-02 8.3928e+02 4.2007e+02 3.9325e-01 2.2654e+00 8.7815e-01 -1.3218e-01 -4.8870e-02 4.3417e+00 2.6541e+00 0.0000e+00 0.0000e+00
5.9435e-02 3.7320e+02 6.9819e-01 -4.5591e-02 7.4852e+02 3.7475e+02 5.1201e-01 2.2187e+00 1.0710e+00 -1.9066e-01 -8.0020e-02 3.9577e+00 2.4256e+00 0.0000e+00 0.0000e+00
6.9985e-02 3.2941e+02 7.8814e-01 -1.5095e-02 6.6131e+02 3.3124e+02 6.6186e-01 2.1596e+00 1.2919e+00 -2.6095e-01 -1.1824e-01 3.5513e+00 2.1987e+00 0.0000e+00 0.0000e+00
8.2407e-02 2.6625e+02 8.1232e-01 3.8326e-02 5.3523e+02 2.6827e+02 8.3226e-01 2.0863e+00 1.5231e+00 -3.2980e-01 -1.5604e-01 3.1434e+00 1.9754e+00 0.0000e+00 0.0000e+00
9.7035e-02 1.9691e+02 7.6501e-01 9.8679e-02 3.9661e+02 1.9898e+02 9.8348e-01 1.9979e+00 1.7203e+00 -3.7953e-01 -1.8388e-01 2.7473e+00 1.7549e+00 0.0000e+00 0.0000e+00
1.1426e-01 1.5678e+02 7.6406e-01 1.3878e-01 3.1648e+02 1.5895e+02 1.1007e+00 1.8949e+00 1.8704e+00 -4.1508e-01 -2.0485e-01 2.3589e+00 1.5432e+00 0.0000e+00 0.0000e+00
1.3454e-01 1.3228e+02 7.9661e-01 1.7820e-01 2.6770e+02 1.3461e+02 1.2268e+00 1.7784e+00 2.0148e+00 -4.5027e-01 -2.2606e-01 1.9863e+00 1.3483e+00 0.0000e+00 0.0000e+00
1.5842e-01 9.4233e+01 7.0737e-01 2.2707e-01 1.9148e+02 9.6481e+01 1.3279e+00 1.6490e+00 2.1133e+00 -4.6496e-01 -2.3602e-01 1.6527e+00 1.1663e+00 0.0000e+00 0.0000e+00
