# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.4193e+02 3.8005e-04 -1.8208e-04 5.2067e+02 2.9744e+01 -2.2609e-04 8.2969e+00 1.5893e-03 1.3974e-03 1.0567e-03 2.2119e+01 1.4742e+01 0.0000e+00 0.0000e+00
1.1775e-03 2.8123e+02 6.2274e-04 -2.9289e-04 5.8456e+02 1.0661e+02 -3.1093e-04 8.2968e+00 2.2050e-03 1.9369e-03 1.4603e-03 2.2116e+01 1.4738e+01 0.0000e+00 0.0000e+00
1.3865e-03 3.2657e+02 1.0137e-03 -4.7040e-04 6.4718e+02 1.8728e+02 -4.2631e-04 8.2967e+00 3.0598e-03 2.6838e-03 2.0159e-03 2.2112e+01 1.4734e+01 0.0000e+00 0.0000e+00
1.6326e-03 3.7865e+02 1.6404e-03 -7.5389e-04 7.7258e+02 2.7188e+02 -5.8208e-04 8.2965e+00 4.2471e-03 3.7162e-03 2.7789e-03 2.2107e+01 1.4727e+01 0.0000e+00 0.0000e+00
1.9224e-03 4.3812e+02 2.6398e-03 -1.2048e-03 8.8927e+02 3.6047e+02 -7.9027e-04 8.2962e+00 5.8971e-03 5.1405e-03 3.8232e-03 2.2100e+01 1.4718e+01 0.0000e+00 0.0000e+00
2.2636e-03 5.0552e+02 4.2255e-03 -1.9181e-03 1.0211e+03 4.5310e+02 -1.0645e-03 8.2958e+00 8.1915e-03 7.0992e-03 5.2466e-03 2.2090e+01 1.4705e+01 0.0000e+00 0.0000e+00
2.6654e-03 5.8116e+02 6.7265e-03 -3.0386e-03 1.1691e+03 5.4972e+02 -1.4184e-03 8.2953e+00 1.1385e-02 9.7802e-03 7.1761e-03 2.2076e+01 1.4688e+01 0.0000e+00 0.0000e+00
3.1386e-03 6.6510e+02 1.0646e-02 -4.7831e-03 1.3338e+03 6.5021e+02 -1.8608e-03 8.2945e+00 1.5833e-02 1.3424e-02 9.7728e-03 2.2057e+01 1.4665e+01 0.0000e+00 0.0000e+00
3.6957e-03 7.5707e+02 1.6743e-02 -7.4707e-03 1.5152e+03 7.5426e+02 -2.3874e-03 8.2935e+00 2.2036e-02 1.8326e-02 1.3235e-02 2.2030e+01 1.4633e+01 0.0000e+00 0.0000e+00
4.3517e-03 8.5653e+02 2.6142e-02 -1.1561e-02 1.7124e+03 8.6137e+02 -2.9623e-03 8.2921e+00 3.0698e-02 2.4824e-02 1.7793e-02 2.1994e+01 1.4590e+01 0.0000e+00 0.0000e+00
5.1241e-03 9.6239e+02 4.0479e-02 -1.7696e-02 1.9230e+03 9.7071e+02 -3.4858e-03 8.2902e+00 4.2811e-02 3.3260e-02 2.3699e-02 2.1945e+01 1.4533e+01 0.0000e+00 0.0000e+00
6.0336e-03 1.0726e+03 6.2071e-02 -2.6739e-02 2.1431e+03 1.0810e+03 -3.7356e-03 8.2875e+00 5.9770e-02 4.3897e-02 3.1189e-02 2.1877e+01 1.4456e+01 0.0000e+00 0.0000e+00
7.1046e-03 1.1838e+03 9.4093e-02 -3.9777e-02 2.3664e+03 1.1902e+03 -3.2686e-03 8.2838e+00 8.3541e-02 5.6780e-02 4.0416e-02 2.1786e+01 1.4354e+01 0.0000e+00 0.0000e+00
8.3657e-03 1.2920e+03 1.4071e-01 -5.8091e-02 2.5839e+03 1.2954e+03 -1.2602e-03 8.2788e+00 1.1688e-01 7.1551e-02 5.1349e-02 2.1663e+01 1.4221e+01 0.0000e+00 0.0000e+00
