# k[h/Mpc]   R1   R2 
# 
1.0000e-04 2.6394e-04 -6.5978e-05
1.0093e-04 2.7126e-04 -6.7808e-05
1.0186e-04 2.7878e-04 -6.9689e-05
1.0280e-04 2.8651e-04 -7.1620e-05
1.0375e-04 2.9445e-04 -7.3606e-05
1.0472e-04 3.0261e-04 -7.5646e-05
1.0568e-04 3.1100e-04 -7.7743e-05
1.0666e-04 3.1962e-04 -7.9897e-05
1.0765e-04 3.2848e-04 -8.2112e-05
1.0865e-04 3.3758e-04 -8.4387e-05
1.0965e-04 3.4694e-04 -8.6727e-05
1.1067e-04 3.5656e-04 -8.9131e-05
1.1169e-04 3.6644e-04 -9.1602e-05
1.1273e-04 3.7661e-04 -9.4142e-05
1.1377e-04 3.8705e-04 -9.6753e-05
1.1482e-04 3.9778e-04 -9.9436e-05
1.1589e-04 4.0882e-04 -1.0219e-04
1.1696e-04 4.2015e-04 -1.0503e-04
1.1804e-04 4.3180e-04 -1.0794e-04
1.1913e-04 4.4377e-04 -1.1093e-04
1.2024e-04 4.5608e-04 -1.1401e-04
1.2135e-04 4.6872e-04 -1.1717e-04
1.2247e-04 4.8171e-04 -1.2041e-04
1.2361e-04 4.9507e-04 -1.2375e-04
1.2475e-04 5.0879e-04 -1.2718e-04
1.2591e-04 5.2289e-04 -1.3071e-04
1.2707e-04 5.3739e-04 -1.3433e-04
1.2825e-04 5.5228e-04 -1.3805e-04
1.2944e-04 5.6759e-04 -1.4188e-04
1.3063e-04 5.8333e-04 -1.4581e-04
1.3184e-04 5.9950e-04 -1.4986e-04
1.3306e-04 6.1612e-04 -1.5401e-04
1.3430e-04 6.3320e-04 -1.5828e-04
1.3554e-04 6.5075e-04 -1.6266e-04
1.3679e-04 6.6879e-04 -1.6717e-04
1.3806e-04 6.8733e-04 -1.7181e-04
1.3934e-04 7.0638e-04 -1.7657e-04
1.4063e-04 7.2596e-04 -1.8146e-04
1.4193e-04 7.4608e-04 -1.8649e-04
1.4324e-04 7.6676e-04 -1.9166e-04
1.4457e-04 7.8801e-04 -1.9697e-04
1.4591e-04 8.0985e-04 -2.0243e-04
1.4726e-04 8.3230e-04 -2.0804e-04
1.4862e-04 8.5536e-04 -2.1381e-04
1.5000e-04 8.7906e-04 -2.1973e-04
1.5139e-04 9.0343e-04 -2.2582e-04
1.5279e-04 9.2846e-04 -2.3207e-04
1.5420e-04 9.5419e-04 -2.3851e-04
1.5563e-04 9.8063e-04 -2.4512e-04
1.5707e-04 1.0078e-03 -2.5191e-04
1.5853e-04 1.0357e-03 -2.5889e-04
1.5999e-04 1.0644e-03 -2.6606e-04
1.6147e-04 1.0939e-03 -2.7343e-04
1.6297e-04 1.1243e-03 -2.8101e-04
1.6448e-04 1.1554e-03 -2.8880e-04
1.6600e-04 1.1875e-03 -2.9681e-04
1.6754e-04 1.2204e-03 -3.0504e-04
1.6909e-04 1.2542e-03 -3.1350e-04
1.7065e-04 1.2890e-03 -3.2219e-04
1.7223e-04 1.3248e-03 -3.3112e-04
1.7383e-04 1.3615e-03 -3.4030e-04
1.7544e-04 1.3992e-03 -3.4973e-04
1.7706e-04 1.4380e-03 -3.5942e-04
1.7870e-04 1.4779e-03 -3.6938e-04
1.8035e-04 1.5188e-03 -3.7962e-04
1.8202e-04 1.5609e-03 -3.9013e-04
1.8371e-04 1.6041e-03 -4.0094e-04
1.8541e-04 1.6486e-03 -4.1205e-04
1.8713e-04 1.6943e-03 -4.2346e-04
1.8886e-04 1.7412e-03 -4.3520e-04
1.9061e-04 1.7895e-03 -4.4726e-04
1.9237e-04 1.8391e-03 -4.5965e-04
1.9415e-04 1.8901e-03 -4.7239e-04
1.9595e-04 1.9424e-03 -4.8548e-04
1.9776e-04 1.9963e-03 -4.9894e-04
1.9960e-04 2.0516e-03 -5.1276e-04
2.0144e-04 2.1085e-03 -5.2697e-04
2.0331e-04 2.1669e-03 -5.4157e-04
2.0519e-04 2.2269e-03 -5.5658e-04
2.0709e-04 2.2886e-03 -5.7199e-04
2.0901e-04 2.3521e-03 -5.8784e-04
2.1094e-04 2.4172e-03 -6.0413e-04
2.1289e-04 2.4842e-03 -6.2086e-04
2.1487e-04 2.5531e-03 -6.3806e-04
2.1685e-04 2.6238e-03 -6.5574e-04
