# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 4.0836e+03 7.4148e-02 -5.1882e-02 8.4615e+03 5.0202e+02 -6.4424e-02 2.3642e+03 4.5288e-01 3.9817e-01 3.0109e-01 6.3027e+03 4.2007e+03 0.0000e+00 0.0000e+00
1.1775e-03 4.7472e+03 1.2241e-01 -8.3456e-02 9.7882e+03 1.7995e+03 -8.8597e-02 2.3642e+03 6.2831e-01 5.5191e-01 4.1611e-01 6.3019e+03 4.1996e+03 0.0000e+00 0.0000e+00
1.3865e-03 5.5124e+03 2.0023e-01 -1.3403e-01 1.1307e+04 3.1613e+03 -1.2147e-01 2.3641e+03 8.7188e-01 7.6469e-01 5.7441e-01 6.3008e+03 4.1983e+03 0.0000e+00 0.0000e+00
1.6326e-03 6.3913e+03 3.2496e-01 -2.1480e-01 1.3041e+04 4.5893e+03 -1.6585e-01 2.3641e+03 1.2102e+00 1.0588e+00 7.9178e-01 6.2992e+03 4.1963e+03 0.0000e+00 0.0000e+00
1.9224e-03 7.3948e+03 5.2366e-01 -3.4327e-01 1.5010e+04 6.0848e+03 -2.2517e-01 2.3640e+03 1.6803e+00 1.4646e+00 1.0893e+00 6.2970e+03 4.1937e+03 0.0000e+00 0.0000e+00
2.2636e-03 8.5319e+03 8.3837e-01 -5.4647e-01 1.7235e+04 7.6484e+03 -3.0330e-01 2.3638e+03 2.3340e+00 2.0225e+00 1.4948e+00 6.2940e+03 4.1900e+03 0.0000e+00 0.0000e+00
2.6654e-03 9.8079e+03 1.3338e+00 -8.6563e-01 1.9733e+04 9.2795e+03 -4.0409e-01 2.3637e+03 3.2436e+00 2.7861e+00 2.0443e+00 6.2899e+03 4.1850e+03 0.0000e+00 0.0000e+00
3.1386e-03 1.1223e+04 2.1085e+00 -1.3625e+00 2.2512e+04 1.0976e+04 -5.3011e-01 2.3634e+03 4.5107e+00 3.8237e+00 2.7838e+00 6.2842e+03 4.1782e+03 0.0000e+00 0.0000e+00
3.6957e-03 1.2774e+04 3.3106e+00 -2.1278e+00 2.5572e+04 1.2732e+04 -6.8006e-01 2.3630e+03 6.2776e+00 5.2192e+00 3.7695e+00 6.2763e+03 4.1689e+03 0.0000e+00 0.0000e+00
4.3517e-03 1.4449e+04 5.1579e+00 -3.2921e+00 2.8898e+04 1.4541e+04 -8.4375e-01 2.3626e+03 8.7443e+00 7.0682e+00 5.0669e+00 6.2656e+03 4.1564e+03 0.0000e+00 0.0000e+00
5.1241e-03 1.6231e+04 7.9638e+00 -5.0380e+00 3.2449e+04 1.6387e+04 -9.9270e-01 2.3619e+03 1.2193e+01 9.4673e+00 6.7470e+00 6.2508e+03 4.1394e+03 0.0000e+00 0.0000e+00
6.0336e-03 1.8083e+04 1.2167e+01 -7.6097e+00 3.6157e+04 1.8249e+04 -1.0637e+00 2.3610e+03 1.7019e+01 1.2490e+01 8.8760e+00 6.2306e+03 4.1169e+03 0.0000e+00 0.0000e+00
7.1046e-03 1.9949e+04 1.8357e+01 -1.1315e+01 3.9916e+04 2.0094e+04 -9.3091e-01 2.3597e+03 2.3781e+01 1.6146e+01 1.1496e+01 6.2033e+03 4.0870e+03 0.0000e+00 0.0000e+00
8.3657e-03 2.1759e+04 2.7289e+01 -1.6514e+01 4.3573e+04 2.1873e+04 -3.6033e-01 2.3580e+03 3.3257e+01 2.0328e+01 1.4596e+01 6.1665e+03 4.0481e+03 0.0000e+00 0.0000e+00
9.8506e-03 2.3416e+04 3.9859e+01 -2.3574e+01 4.6931e+04 2.3512e+04 1.0586e+00 2.3556e+03 4.6525e+01 2.4756e+01 1.8064e+01 6.1172e+03 3.9979e+03 0.0000e+00 0.0000e+00
1.1599e-02 2.4800e+04 5.7021e+01 -3.2769e+01 4.9745e+04 2.4911e+04 4.0097e+00 2.3524e+03 6.5052e+01 2.8923e+01 2.1630e+01 6.0521e+03 3.9343e+03 0.0000e+00 0.0000e+00
1.3658e-02 2.5767e+04 7.9568e+01 -4.4122e+01 5.1734e+04 2.5935e+04 9.5651e+00 2.3479e+03 9.0773e+01 3.2029e+01 2.4812e+01 5.9672e+03 3.8552e+03 0.0000e+00 0.0000e+00
1.6082e-02 2.6162e+04 1.0777e+02 -5.7168e+01 5.2597e+04 2.6420e+04 1.9291e+01 2.3419e+03 1.2613e+02 3.2837e+01 2.6890e+01 5.8580e+03 3.7587e+03 0.0000e+00 0.0000e+00
1.8937e-02 2.5833e+04 1.4088e+02 -7.0709e+01 5.2043e+04 2.6202e+04 3.5268e+01 2.3338e+03 1.7399e+02 2.9577e+01 2.6950e+01 5.7203e+03 3.6432e+03 0.0000e+00 0.0000e+00
2.2298e-02 2.4678e+04 1.7671e+02 -8.2697e+01 4.9859e+04 2.5164e+04 5.9933e+01 2.3229e+03 2.3730e+02 2.0457e+01 2.4051e+01 5.5501e+03 3.5079e+03 0.0000e+00 0.0000e+00
2.6256e-02 2.2702e+04 2.1154e+02 -9.0508e+01 4.6043e+04 2.3315e+04 9.5614e+01 2.3083e+03 3.1851e+02 4.4921e+00 1.7500e+01 5.3445e+03 3.3521e+03 0.0000e+00 0.0000e+00
3.0917e-02 2.0082e+04 2.4115e+02 -9.1871e+01 4.0946e+04 2.0836e+04 1.4374e+02 2.2887e+03 4.1870e+02 -1.8716e+01 7.1152e+00 5.1017e+03 3.1757e+03 0.0000e+00 0.0000e+00
3.6405e-02 1.7191e+04 2.6314e+02 -8.6283e+01 3.5305e+04 1.8088e+04 2.0416e+02 2.2629e+03 5.3702e+02 -4.8538e+01 -6.8336e+00 4.8203e+03 2.9793e+03 0.0000e+00 0.0000e+00
4.2867e-02 1.4510e+04 2.7932e+02 -7.5945e+01 3.0086e+04 1.5551e+04 2.7568e+02 2.2290e+03 6.7129e+02 -8.4573e+01 -2.4271e+01 4.5000e+03 2.7652e+03 0.0000e+00 0.0000e+00
5.0475e-02 1.2415e+04 2.9485e+02 -6.4292e+01 2.6055e+04 1.3625e+04 3.5846e+02 2.1851e+03 8.2037e+02 -1.2821e+02 -4.6148e+01 4.1414e+03 2.5384e+03 0.0000e+00 0.0000e+00
5.9435e-02 1.0889e+04 3.1083e+02 -5.1419e+01 2.3195e+04 1.2307e+04 4.5665e+02 2.1291e+03 9.8584e+02 -1.8212e+02 -7.3948e+01 3.7498e+03 2.3069e+03 0.0000e+00 0.0000e+00
6.9985e-02 9.4177e+03 3.1385e+02 -3.0497e+01 2.0442e+04 1.1050e+04 5.7374e+02 2.0588e+03 1.1663e+03 -2.4435e+02 -1.0640e+02 3.3397e+03 2.0776e+03 0.0000e+00 0.0000e+00
8.2407e-02 7.4859e+03 2.8409e+02 3.8232e+00 1.6672e+04 9.2379e+03 6.9598e+02 1.9727e+03 1.3414e+03 -3.0233e+02 -1.3627e+02 2.9318e+03 1.8530e+03 0.0000e+00 0.0000e+00
9.7035e-02 5.5184e+03 2.3158e+02 3.7484e+01 1.2709e+04 7.2714e+03 7.8922e+02 1.8705e+03 1.4736e+03 -3.4228e+02 -1.5606e+02 2.5387e+03 1.6336e+03 0.0000e+00 0.0000e+00
1.1426e-01 4.3154e+03 1.8407e+02 5.2742e+01 1.0269e+04 6.0883e+03 8.4416e+02 1.7533e+03 1.5551e+03 -3.6912e+02 -1.6862e+02 2.1607e+03 1.4256e+03 0.0000e+00 0.0000e+00
1.3454e-01 3.4822e+03 1.3040e+02 6.0458e+01 8.5601e+03 5.2847e+03 8.8716e+02 1.6230e+03 1.6109e+03 -3.9095e+02 -1.7805e+02 1.8073e+03 1.2345e+03 0.0000e+00 0.0000e+00
1.5842e-01 2.5250e+03 6.7976e+01 6.6068e+01 6.4856e+03 4.2149e+03 8.9659e+02 1.4820e+03 1.6156e+03 -3.9608e+02 -1.7788e+02 1.4938e+03 1.0586e+03 0.0000e+00 0.0000e+00
1.8654e-01 1.9094e+03 6.3550e+00 5.8320e+01 5.0748e+03 3.4909e+03 8.6146e+02 1.3345e+03 1.5616e+03 -3.8689e+02 -1.6989e+02 1.2172e+03 8.9949e+02 0.0000e+00 0.0000e+00
2.1965e-01 1.3985e+03 -5.0654e+01 4.4528e+01 3.8426e+03 2.8279e+03 8.0294e+02 1.1845e+03 1.4710e+03 -3.6914e+02 -1.5734e+02 9.7936e+02 7.5750e+02 0.0000e+00 0.0000e+00
2.5864e-01 1.0163e+03 -1.0145e+02 2.6203e+01 2.8521e+03 2.2741e+03 7.1602e+02 1.0360e+03 1.3412e+03 -3.4203e+02 -1.4032e+02 7.7842e+02 6.3170e+02 0.0000e+00 0.0000e+00
3.0455e-01 7.2122e+02 -1.4084e+02 6.1316e+00 2.0380e+03 1.7922e+03 6.1285e+02 8.9277e+02 1.1867e+03 -3.0908e+02 -1.2112e+02 6.1100e+02 5.2131e+02 0.0000e+00 0.0000e+00
3.5861e-01 5.0093e+02 -1.6744e+02 -1.2485e+01 1.3905e+03 1.3834e+03 5.0068e+02 7.5759e+02 1.0169e+03 -2.7189e+02 -1.0105e+02 4.7310e+02 4.2525e+02 0.0000e+00 0.0000e+00
